Year,League,Team,G,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,CS,OBP,SLG,AVG
2002,AL,Anaheim,162,5678,851,1603,333,32,152,811,2456,462,805,117,51,.341,.433,.282
2002,AL,Baltimore,162,5491,667,1353,311,27,165,636,2213,452,993,110,48,.309,.403,.246
2002,AL,Boston,162,5640,859,1560,348,33,177,810,2505,545,944,80,28,.345,.444,.277
2002,AL,Chicago,162,5502,856,1475,289,29,217,819,2473,555,952,75,31,.338,.449,.268
2002,AL,Cleveland,162,5423,739,1349,255,26,192,706,2232,542,1000,52,37,.321,.412,.249
2002,AL,Detroit,161,5406,575,1340,265,37,124,546,2051,363,1035,65,44,.300,.379,.248
2002,AL,Kansas City,162,5535,737,1415,285,42,140,695,2204,524,921,140,65,.323,.398,.256
2002,AL,Minnesota,161,5582,768,1518,348,36,167,731,2439,472,1089,79,62,.332,.437,.272
2002,AL,New York,161,5601,897,1540,314,12,223,857,2547,640,1171,100,38,.354,.455,.275
2002,AL,Oakland,162,5558,800,1450,279,28,205,772,2400,609,1008,46,20,.339,.432,.261
2002,AL,Seattle,162,5569,814,1531,285,31,152,771,2334,629,1003,137,58,.350,.419,.275
2002,AL,Tampa Bay,161,5604,673,1418,297,35,133,640,2184,456,1115,102,45,.314,.390,.253
2002,AL,Texas,162,5618,843,1510,304,27,230,806,2558,554,1055,62,34,.338,.455,.269
2002,AL,Toronto,162,5581,813,1457,305,38,187,771,2399,522,1142,71,18,.327,.430,.261
2003,AL,Anaheim,162,5487,736,1473,276,33,150,687,2265,476,838,129,61,.330,.413,.268
2003,AL,Baltimore,163,5665,743,1516,277,24,152,695,2297,431,902,89,36,.323,.405,.268
2003,AL,Boston,162,5769,961,1667,371,40,238,932,2832,620,943,88,35,.360,.491,.289
2003,AL,Chicago,162,5487,791,1445,303,19,220,766,2446,519,916,77,29,.331,.446,.263
2003,AL,Cleveland,162,5572,699,1413,296,26,158,660,2235,466,1062,86,61,.316,.401,.254
2003,AL,Detroit,162,5466,591,1312,201,39,153,553,2050,443,1099,98,63,.300,.375,.240
2003,AL,Kansas City,162,5568,836,1526,288,39,162,781,2378,476,926,120,42,.336,.427,.274
2003,AL,Minnesota,162,5655,801,1567,318,45,155,755,2440,512,1027,94,44,.341,.431,.277
2003,AL,New York,163,5605,877,1518,304,14,230,845,2540,684,1042,98,33,.356,.453,.271
2003,AL,Oakland,162,5497,768,1398,317,24,176,742,2291,556,898,48,14,.327,.417,.254
2003,AL,Seattle,162,5561,795,1509,290,33,139,759,2282,586,989,108,37,.344,.410,.271
2003,AL,Tampa Bay,162,5654,715,1501,298,38,137,678,2286,420,1030,142,42,.320,.404,.265
2003,AL,Texas,162,5664,826,1506,274,36,239,799,2569,488,1052,65,25,.330,.454,.266
2003,AL,Toronto,162,5661,894,1580,357,33,190,853,2573,546,1081,37,25,.349,.455,.279
2004,AL,Anaheim,162,5675,836,1603,272,37,162,783,2435,450,942,143,46,.341,.429,.282
2004,AL,Baltimore,162,5736,842,1614,319,18,169,803,2476,528,949,101,41,.345,.432,.281
2004,AL,Boston,162,5720,949,1613,373,25,222,912,2702,659,1189,68,30,.360,.472,.282
2004,AL,Chicago,162,5534,865,1481,284,19,242,823,2529,499,1030,78,51,.333,.457,.268
2004,AL,Cleveland,162,5676,858,1565,345,29,184,820,2520,606,1009,94,55,.351,.444,.276
2004,AL,Detroit,162,5623,827,1531,284,54,201,800,2526,518,1144,86,50,.337,.449,.272
2004,AL,Kansas City,162,5538,720,1432,261,29,150,675,2201,461,1057,67,48,.322,.397,.259
2004,AL,Minnesota,162,5623,780,1494,310,24,191,735,2425,513,982,116,46,.332,.431,.266
2004,AL,New York,162,5527,897,1483,281,20,242,863,2530,670,982,84,33,.353,.458,.268
2004,AL,Oakland,162,5728,793,1545,336,15,189,752,2478,608,1061,47,22,.343,.433,.270
2004,AL,Seattle,162,5722,698,1544,276,20,136,658,2268,492,1058,110,42,.331,.396,.270
2004,AL,Tampa Bay,161,5483,714,1416,278,46,145,685,2221,469,944,132,42,.320,.405,.258
2004,AL,Texas,162,5615,860,1492,323,34,227,825,2564,500,1099,69,36,.329,.457,.266
2004,AL,Toronto,161,5531,719,1438,290,34,145,680,2231,513,1083,58,31,.328,.403,.260
