Year,League,Statistic,Team,Value
1901,AL,Base on Balls,Chicago,475
1901,AL,Batting Average,Baltimore,.294
1901,AL,Doubles,Philadelphia,239
1901,AL,Hits,Philadelphia,1409
1901,AL,Home Runs,Boston,37
1901,AL,On Base Percentage,Baltimore,.353
1901,AL,Runs,Chicago,819
1901,AL,Slugging Average,Baltimore,.397
1901,AL,Stolen Bases,Chicago,280
1901,AL,Triples,Baltimore,111
1902,AL,Base on Balls,Baltimore,417
1902,AL,Batting Average,Cleveland,.289
1902,AL,Doubles,Washington,261
1902,AL,Hits,Cleveland,1401
1902,AL,Home Runs,Washington,47
1902,AL,On Base Percentage,Baltimore,.342
1902,AL,Runs,Philadelphia,775
1902,AL,Slugging Average,Washington,.395
1902,AL,Stolen Bases,Chicago,265
1902,AL,Triples,Baltimore,107
1903,AL,Base on Balls,New York,332
1903,AL,Batting Average,Boston,.272
1903,AL,Doubles,Cleveland,231
1903,AL,Hits,Boston,1336
1903,AL,Home Runs,Boston,48
1903,AL,On Base Percentage,Detroit,.318
1903,AL,Runs,Boston,708
1903,AL,Slugging Average,Boston,.392
1903,AL,Stolen Bases,Chicago,180
1903,AL,Triples,Boston,113
1904,AL,Base on Balls,Chicago,373
1904,AL,Batting Average,Cleveland,.260
1904,AL,Doubles,Cleveland,225
1904,AL,Hits,New York,1354
1904,AL,Home Runs,Philadelphia,31
1904,AL,On Base Percentage,Cleveland,.308
1904,AL,Runs,Cleveland,647
1904,AL,Slugging Average,Cleveland,.354
1904,AL,Stolen Bases,Chicago,216
1904,AL,Triples,Boston,105
1905,AL,Base on Balls,Boston,486
1905,AL,Batting Average,Philadelphia,.255
1905,AL,Doubles,Philadelphia,256
1905,AL,Hits,Cleveland,1318
1905,AL,Home Runs,Boston,29
1905,AL,On Base Percentage,Philadelphia,.310
1905,AL,Runs,Philadelphia,623
1905,AL,Slugging Average,Philadelphia,.338
1905,AL,Stolen Bases,New York,200
1905,AL,Triples,Cleveland,72
1906,AL,Base on Balls,Chicago,453
1906,AL,Batting Average,Cleveland,.279
1906,AL,Doubles,Cleveland,240
1906,AL,Hits,Cleveland,1514
1906,AL,Home Runs,Philadelphia,32
1906,AL,On Base Percentage,Cleveland,.325
1906,AL,Runs,Cleveland,663
1906,AL,Slugging Average,Cleveland,.357
1906,AL,Stolen Bases,Washington,233
1906,AL,Triples,New York,77
1907,AL,Base on Balls,Chicago,421
1907,AL,Batting Average,Detroit,.266
1907,AL,Doubles,Philadelphia,220
1907,AL,Hits,Detroit,1383
1907,AL,Home Runs,Philadelphia,22
1907,AL,On Base Percentage,Detroit,.313
1907,AL,Runs,Detroit,694
1907,AL,Slugging Average,Detroit,.335
1907,AL,Stolen Bases,Washington,223
1907,AL,Triples,Detroit,75
1908,AL,Base on Balls,Chicago,463
1908,AL,Batting Average,Detroit,.263
1908,AL,Doubles,Detroit,199
1908,AL,Hits,Detroit,1347
1908,AL,Home Runs,Philadelphia,21
1908,AL,On Base Percentage,Detroit,.312
1908,AL,Runs,Detroit,647
1908,AL,Slugging Average,Detroit,.347
1908,AL,Stolen Bases,New York,231
1908,AL,Triples,Boston,88
1909,AL,Base on Balls,Chicago,441
1909,AL,Batting Average,Detroit,.267
1909,AL,Doubles,Detroit,209
1909,AL,Hits,Detroit,1360
1909,AL,Home Runs,Philadelphia,21
1909,AL,On Base Percentage,Detroit,.325
1909,AL,Runs,Detroit,666
1909,AL,Slugging Average,Philadelphia,.343
1909,AL,Stolen Bases,Detroit,280
1909,AL,Triples,Philadelphia,88
1910,AL,Base on Balls,New York,464
1910,AL,Batting Average,Philadelphia,.266
1910,AL,Doubles,Philadelphia,191
