Year,League,Statistic,Team,Value
1901,AL,Complete Games,Philadelphia,124
1901,AL,ERA,Chicago,2.98
1901,AL,Fewest Hits Allowed,Boston,1178
1901,AL,Fewest Home Runs Allowed,Philadelphia,20
1901,AL,Fewest Walks Allowed,Washington,284
1901,AL,Saves,Cleveland,4
1901,AL,Shutouts,Chicago,11
1901,AL,Strikeouts,Boston,396
1902,AL,Complete Games,Washington,130
1902,AL,ERA,Boston,3.02
1902,AL,Fewest Hits Allowed,Cleveland,1199
1902,AL,Fewest Home Runs Allowed,Detroit,20
1902,AL,Fewest Walks Allowed,Washington,312
1902,AL,Saves,Cleveland,3
1902,AL,Shutouts,Cleveland,16
1902,AL,Strikeouts,Philadelphia,455
1903,AL,Complete Games,Cleveland,125
1903,AL,ERA,Boston,2.57
1903,AL,Fewest Hits Allowed,Philadelphia,1124
1903,AL,Fewest Home Runs Allowed,Cleveland,16
1903,AL,Fewest Walks Allowed,St. Louis,237
1903,AL,Saves,Boston,4
1903,AL,Shutouts,Boston,20
1903,AL,Strikeouts,Philadelphia,728
1904,AL,Complete Games,Boston,148
1904,AL,ERA,Boston,2.12
1904,AL,Fewest Hits Allowed,Philadelphia,1149
1904,AL,Fewest Home Runs Allowed,Cleveland,10
1904,AL,Fewest Walks Allowed,Boston,233
1904,AL,Saves,Washington,4
1904,AL,Shutouts,Chicago,26
1904,AL,Strikeouts,Philadelphia,887
1905,AL,Complete Games,Cleveland,140
1905,AL,ERA,Chicago,1.99
1905,AL,Fewest Hits Allowed,Philadelphia,1137
1905,AL,Fewest Walks Allowed,Boston,292
1905,AL,Saves,New York,4
1905,AL,Shutouts,Philadelphia,19
1905,AL,Strikeouts,Philadelphia,895
1906,AL,Complete Games,Cleveland,133
1906,AL,ERA,Cleveland,2.09
1906,AL,Fewest Hits Allowed,St. Louis,1132
1906,AL,Fewest Home Runs Allowed,Philadelphia,9
1906,AL,Fewest Walks Allowed,Chicago,255
1906,AL,Saves,Boston,6
1906,AL,Shutouts,Chicago,32
1906,AL,Strikeouts,Philadelphia,749
1907,AL,Complete Games,St. Louis,129
1907,AL,ERA,Chicago,2.22
1907,AL,Fewest Hits Allowed,Philadelphia,1106
1907,AL,Fewest Home Runs Allowed,Cleveland,8
1907,AL,Fewest Walks Allowed,Chicago,305
1907,AL,Saves,Chicago,9
1907,AL,Shutouts,Philadelphia,27
1907,AL,Strikeouts,Philadelphia,789
1908,AL,Complete Games,Detroit,119
1908,AL,ERA,Cleveland,2.02
1908,AL,Fewest Hits Allowed,St. Louis,1151
1908,AL,Fewest Home Runs Allowed,St. Louis,7
1908,AL,Fewest Walks Allowed,Chicago,284
1908,AL,Saves,Chicago,10
1908,AL,Shutouts,Chicago,23
1908,AL,Strikeouts,Philadelphia,741
1909,AL,Complete Games,Detroit,117
1909,AL,ERA,Philadelphia,1.93
1909,AL,Fewest Hits Allowed,Philadelphia,1069
1909,AL,Fewest Home Runs Allowed,Chicago,8
1909,AL,Fewest Walks Allowed,Chicago,340
1909,AL,Saves,Boston,15
1909,AL,Shutouts,Philadelphia,27
1909,AL,Strikeouts,Philadelphia,728
1910,AL,Complete Games,Philadelphia,123
1910,AL,ERA,Philadelphia,1.79
1910,AL,Fewest Hits Allowed,Philadelphia,1103
1910,AL,Fewest Home Runs Allowed,Philadelphia,8
1910,AL,Fewest Walks Allowed,New York,364
1910,AL,Saves,New York,8
1910,AL,Shutouts,Philadelphia,24
1910,AL,Strikeouts,Philadelphia,789
1911,AL,Complete Games,Detroit,108
1911,AL,ERA,Boston,2.74
1911,AL,Fewest Hits Allowed,Boston,1309
1911,AL,Fewest Home Runs Allowed,Cleveland,17
1911,AL,Fewest Walks Allowed,Chicago,384
1911,AL,Saves,Philadelphia,13
1911,AL,Shutouts,Chicago,17
1911,AL,Strikeouts,Chicago,752
1912,AL,Complete Games,Boston,108
1912,AL,ERA,Washington,2.69
1912,AL,Fewest Hits Allowed,Washington,1219
1912,AL,Fewest Home Runs Allowed,Philadelphia,12
1912,AL,Fewest Walks Allowed,Boston,385
1912,AL,Saves,Chicago,16
1912,AL,Shutouts,Boston,18
1912,AL,Strikeouts,Washington,828
1913,AL,Complete Games,St. Louis,104
1913,AL,ERA,Chicago,2.33
1913,AL,Fewest Hits Allowed,Washington,1177
1913,AL,Fewest Home Runs Allowed,Boston,6
1913,AL,Fewest Walks Allowed,Chicago,438
1913,AL,Saves,Philadelphia,22
1913,AL,Shutouts,Washington,23
1913,AL,Strikeouts,Washington,758
1914,AL,Complete Games,New York,98
1914,AL,ERA,Boston,2.36
1914,AL,Fewest Hits Allowed,Washington,1170
1914,AL,Fewest Home Runs Allowed,Cleveland,10
1914,AL,Fewest Walks Allowed,New York,390
1914,AL,Saves,Washington,20
1914,AL,Shutouts,Washington,25
1914,AL,Strikeouts,Washington,784
1915,AL,Complete Games,New York,101
1915,AL,ERA,Washington,2.31
