Year,League,Statistic,Player_Name,Team,Value
1901,AL,Complete Games,Joe McGinnity,Baltimore,39.0
1901,AL,ERA,Cy Young,Boston,1.62
1901,AL,Games,Joe McGinnity,Baltimore,48.0
1901,AL,Saves,Bill Hoffer,Cleveland,3.0
1901,AL,Shutouts,Clark Griffith,Chicago,5.0
1901,AL,Shutouts,Cy Young,Boston,5.0
1901,AL,Strikeouts,Cy Young,Boston,158.0
1901,AL,Winning Percentage,Clark Griffith,Chicago,0.774
1901,AL,Wins,Cy Young,Boston,33.0
1902,AL,Complete Games,Cy Young,Boston,41.0
1902,AL,ERA,Ed Siever,Detroit,1.91
1902,AL,Games,Cy Young,Boston,45.0
1902,AL,Saves,Jack Powell,St. Louis,2.0
1902,AL,Shutouts,Addie Joss,Cleveland,5.0
1902,AL,Strikeouts,Rube Waddell,Philadelphia,210.0
1902,AL,Winning Percentage,Bill Bernhard,Philadelphia,0.783
1902,AL,Winning Percentage,Bill Bernhard,Cleveland,0.783
1902,AL,Wins,Cy Young,Boston,32.0
1903,AL,Complete Games,Bill Donovan,Detroit,34.0
1903,AL,Complete Games,Cy Young,Boston,34.0
1903,AL,Complete Games,Rube Waddell,Philadelphia,34.0
1903,AL,ERA,Earl Moore,Cleveland,1.74
1903,AL,Games,Eddie Plank,Philadelphia,43.0
1903,AL,Saves,Al Orth,Washington,2.0
1903,AL,Saves,Bill Dinneen,Boston,2.0
1903,AL,Saves,Cy Young,Boston,2.0
1903,AL,Saves,George Mullin,Detroit,2.0
1903,AL,Saves,Jack Powell,St. Louis,2.0
1903,AL,Shutouts,Cy Young,Boston,7.0
1903,AL,Strikeouts,Rube Waddell,Philadelphia,302.0
1903,AL,Winning Percentage,Cy Young,Boston,0.757
1903,AL,Wins,Cy Young,Boston,28.0
1904,AL,Complete Games,Jack Chesbro,New York,48.0
1904,AL,ERA,Addie Joss,Cleveland,1.59
1904,AL,Games,Jack Chesbro,New York,55.0
1904,AL,Saves,Case Patten,Washington,3.0
1904,AL,Shutouts,Cy Young,Boston,10.0
1904,AL,Strikeouts,Rube Waddell,Philadelphia,349.0
1904,AL,Winning Percentage,Jack Chesbro,New York,0.774
1904,AL,Wins,Jack Chesbro,New York,41.0
1905,AL,Complete Games,Eddie Plank,Philadelphia,35.0
1905,AL,Complete Games,George Mullin,Detroit,35.0
1905,AL,Complete Games,Harry Howell,St. Louis,35.0
1905,AL,ERA,Rube Waddell,Philadelphia,1.48
1905,AL,Games,Rube Waddell,Philadelphia,46.0
1905,AL,Saves,Jim Buchanan,St. Louis,2.0
1905,AL,Shutouts,Ed Killian,Detroit,8.0
1905,AL,Strikeouts,Rube Waddell,Philadelphia,287.0
1905,AL,Winning Percentage,Rube Waddell,Philadelphia,0.73
1905,AL,Wins,Rube Waddell,Philadelphia,27.0
1906,AL,Complete Games,Al Orth,New York,36.0
1906,AL,ERA,Doc White,Chicago,1.52
1906,AL,Games,Jack Chesbro,New York,49.0
1906,AL,Saves,Chief Bender,Philadelphia,3.0
1906,AL,Saves,Otto Hess,Cleveland,3.0
1906,AL,Shutouts,Ed Walsh,Chicago,10.0
1906,AL,Strikeouts,Rube Waddell,Philadelphia,196.0
1906,AL,Winning Percentage,Eddie Plank,Philadelphia,0.76
1906,AL,Wins,Al Orth,New York,27.0
1907,AL,Complete Games,Ed Walsh,Chicago,37.0
1907,AL,ERA,Ed Walsh,Chicago,1.6
1907,AL,Games,Ed Walsh,Chicago,56.0
1907,AL,Saves,Bill Dinneen,Philadelphia,4.0
1907,AL,Saves,Bill Dinneen,St. Louis,4.0
1907,AL,Saves,Ed Walsh,Chicago,4.0
1907,AL,Saves,Tom Hughes,Washington,4.0
1907,AL,Shutouts,Eddie Plank,Philadelphia,8.0
1907,AL,Strikeouts,Rube Waddell,Philadelphia,232.0
1907,AL,Winning Percentage,Bill Donovan,Detroit,0.862
1907,AL,Wins,Addie Joss,Cleveland,27.0
1907,AL,Wins,Doc White,Chicago,27.0
1908,AL,Complete Games,Ed Walsh,Chicago,42.0
1908,AL,ERA,Addie Joss,Cleveland,1.16
1908,AL,Games,Ed Walsh,Chicago,66.0
1908,AL,Saves,Ed Walsh,Chicago,6.0
1908,AL,Shutouts,Ed Walsh,Chicago,11.0
1908,AL,Strikeouts,Ed Walsh,Chicago,269.0
1908,AL,Winning Percentage,Ed Walsh,Chicago,0.727
1908,AL,Wins,Ed Walsh,Chicago,40.0
1909,AL,Complete Games,Frank Smith,Chicago,37.0
1909,AL,ERA,Harry Krause,Philadelphia,1.39
1909,AL,Games,Frank Smith,Chicago,51.0
1909,AL,Saves,Frank Arellanes,Boston,8.0
1909,AL,Shutouts,Ed Walsh,Chicago,8.0
1909,AL,Strikeouts,Frank Smith,Chicago,177.0
1909,AL,Winning Percentage,George Mullin,Detroit,0.784
1909,AL,Wins,George Mullin,Detroit,29.0
1910,AL,Complete Games,Walter Johnson,Washington,38.0
1910,AL,ERA,Ed Walsh,Chicago,1.27
1910,AL,Games,Ed Walsh,Chicago,45.0
1910,AL,Games,Jack Coombs,Philadelphia,45.0
1910,AL,Games,Walter Johnson,Washington,45.0
1910,AL,Saves,Ed Walsh,Chicago,5.0
1910,AL,Shutouts,Jack Coombs,Philadelphia,13.0
1910,AL,Strikeouts,Walter Johnson,Washington,313.0
1910,AL,Winning Percentage,Chief Bender,Philadelphia,0.821
1910,AL,Wins,Jack Coombs,Philadelphia,31.0
1911,AL,Complete Games,Walter Johnson,Washington,36.0
1911,AL,ERA,Vean Gregg,Cleveland,1.8
1911,AL,Games,Ed Walsh,Chicago,56.0
1911,AL,Saves,Charley Hall,Boston,4.0
1911,AL,Saves,Ed Walsh,Chicago,4.0
1911,AL,Saves,Eddie Plank,Philadelphia,4.0
1911,AL,Shutouts,Eddie Plank,Philadelphia,6.0
1911,AL,Shutouts,Walter Johnson,Washington,6.0
1911,AL,Strikeouts,Ed Walsh,Chicago,255.0
1911,AL,Winning Percentage,Chief Bender,Philadelphia,0.773
1911,AL,Wins,Jack Coombs,Philadelphia,28.0
1912,AL,Complete Games,Smoky Joe Wood,Boston,35.0
1912,AL,ERA,Walter Johnson,Washington,1.39
1912,AL,Games,Ed Walsh,Chicago,62.0
1912,AL,Saves,Ed Walsh,Chicago,10.0
1912,AL,Shutouts,Smoky Joe Wood,Boston,10.0
1912,AL,Strikeouts,Walter Johnson,Washington,303.0
1912,AL,Winning Percentage,Smoky Joe Wood,Boston,0.872
1912,AL,Wins,Smoky Joe Wood,Boston,34.0
1913,AL,Complete Games,Walter Johnson,Washington,29.0
1913,AL,ERA,Walter Johnson,Washington,1.14
1913,AL,Games,Reb Russell,Chicago,52.0
1913,AL,Saves,Chief Bender,Philadelphia,13.0
1913,AL,Shutouts,Walter Johnson,Washington,11.0
1913,AL,Strikeouts,Walter Johnson,Washington,243.0
1913,AL,Winning Percentage,Walter Johnson,Washington,0.837
1913,AL,Wins,Walter Johnson,Washington,36.0
1914,AL,Complete Games,Walter Johnson,Washington,33.0
1914,AL,ERA,Dutch Leonard,Boston,0.96
1914,AL,Games,Walter Johnson,Washington,51.0
1914,AL,Saves,Hooks Dauss,Detroit,4.0
1914,AL,Saves,Jack Bentley,Washington,4.0
1914,AL,Saves,Jim Shaw,Washington,4.0
1914,AL,Saves,Red Faber,Chicago,4.0
1914,AL,Saves,Roy Mitchell,St. Louis,4.0
1914,AL,Shutouts,Walter Johnson,Washington,9.0
1914,AL,Strikeouts,Walter Johnson,Washington,225.0
1914,AL,Winning Percentage,Chief Bender,Philadelphia,0.85
1914,AL,Wins,Walter Johnson,Washington,28.0
1915,AL,Complete Games,Walter Johnson,Washington,35.0
1915,AL,ERA,Smoky Joe Wood,Boston,1.49
1915,AL,Games,Harry Coveleski,Detroit,50.0
1915,AL,Games,Red Faber,Chicago,50.0
1915,AL,Saves,Carl Mays,Boston,7.0
1915,AL,Shutouts,Jim Scott,Chicago,7.0
1915,AL,Shutouts,Walter Johnson,Washington,7.0
1915,AL,Strikeouts,Walter Johnson,Washington,203.0
1915,AL,Winning Percentage,Smoky Joe Wood,Boston,0.75
1915,AL,Wins,Walter Johnson,Washington,27.0
1916,AL,Complete Games,Walter Johnson,Washington,36.0
1916,AL,ERA,Babe Ruth,Boston,1.75
1916,AL,Games,Dave Davenport,St. Louis,59.0
1916,AL,Saves,Bob Shawkey,New York,8.0
1916,AL,Shutouts,Babe Ruth,Boston,9.0
1916,AL,Strikeouts,Walter Johnson,Washington,228.0
1916,AL,Winning Percentage,Nick Cullop,New York,0.684
1916,AL,Wins,Walter Johnson,Washington,25.0
1917,AL,Complete Games,Babe Ruth,Boston,35.0
1917,AL,ERA,Eddie Cicotte,Chicago,1.53
1917,AL,Games,Dave Danforth,Chicago,50.0
1917,AL,Saves,Dave Danforth,Chicago,9.0
1917,AL,Shutouts,Stan Coveleski,Cleveland,9.0
1917,AL,Strikeouts,Walter Johnson,Washington,188.0
1917,AL,Winning Percentage,Ed Klepfer,Cleveland,0.778
1917,AL,Wins,Eddie Cicotte,Chicago,28.0
1918,AL,Complete Games,Carl Mays,Boston,30.0
1918,AL,Complete Games,Scott Perry,Philadelphia,30.0
1918,AL,ERA,Walter Johnson,Washington,1.27
1918,AL,Games,George Mogridge,New York,45.0
1918,AL,Games,Jim Bagby,Cleveland,45.0
1918,AL,Saves,George Mogridge,New York,7.0
1918,AL,Shutouts,Carl Mays,Boston,8.0
1918,AL,Shutouts,Walter Johnson,Washington,8.0
1918,AL,Strikeouts,Walter Johnson,Washington,162.0
1918,AL,Winning Percentage,Sam Jones,Boston,0.762
1918,AL,Wins,Walter Johnson,Washington,23.0
1919,AL,Complete Games,Eddie Cicotte,Chicago,30.0
1919,AL,ERA,Walter Johnson,Washington,1.49
1919,AL,Games,Jim Shaw,Washington,45.0
1919,AL,Saves,Allan Russell,New York,5.0
1919,AL,Saves,Allan Russell,Boston,5.0
1919,AL,Saves,Bob Shawkey,New York,5.0
