Year,League,Statistic,Player_Name,Team,Value
1901,AL,Base on Balls,Dummy Hoy,Chicago,86.0
1901,AL,Batting Average,Nap Lajoie,Philadelphia,0.426
1901,AL,Doubles,Nap Lajoie,Philadelphia,48.0
1901,AL,Hits,Nap Lajoie,Philadelphia,232.0
1901,AL,Home Runs,Nap Lajoie,Philadelphia,14.0
1901,AL,On Base Percentage,Nap Lajoie,Philadelphia,0.463
1901,AL,RBI,Nap Lajoie,Philadelphia,125.0
1901,AL,Runs,Nap Lajoie,Philadelphia,145.0
1901,AL,Slugging Average,Nap Lajoie,Philadelphia,0.643
1901,AL,Stolen Bases,Frank Isbell,Chicago,52.0
1901,AL,Total Bases,Nap Lajoie,Philadelphia,350.0
1901,AL,Triples,Bill Keister,Baltimore,21.0
1902,AL,Base on Balls,Topsy Hartsel,Philadelphia,87.0
1902,AL,Batting Average,Ed Delahanty,Washington,0.376
1902,AL,Doubles,Harry Davis,Philadelphia,43.0
1902,AL,Doubles,Ed Delahanty,Washington,43.0
1902,AL,Hits,Charlie Hickman,Boston,193.0
1902,AL,Hits,Charlie Hickman,Cleveland,193.0
1902,AL,Home Runs,Socks Seybold,Philadelphia,16.0
1902,AL,On Base Percentage,Ed Delahanty,Washington,0.453
1902,AL,RBI,Buck Freeman,Boston,121.0
1902,AL,Runs,Dave Fultz,Philadelphia,109.0
1902,AL,Slugging Average,Ed Delahanty,Washington,0.59
1902,AL,Stolen Bases,Topsy Hartsel,Philadelphia,47.0
1902,AL,Total Bases,Charlie Hickman,Boston,288.0
1902,AL,Total Bases,Charlie Hickman,Cleveland,288.0
1902,AL,Triples,Jimmy Williams,Baltimore,21.0
1903,AL,Base on Balls,Jimmy Barrett,Detroit,74.0
1903,AL,Batting Average,Nap Lajoie,Cleveland,0.344
1903,AL,Doubles,Socks Seybold,Philadelphia,45.0
1903,AL,Hits,Patsy Dougherty,Boston,195.0
1903,AL,Home Runs,Buck Freeman,Boston,13.0
1903,AL,On Base Percentage,Jimmy Barrett,Detroit,0.407
1903,AL,RBI,Buck Freeman,Boston,104.0
1903,AL,Runs,Patsy Dougherty,Boston,107.0
1903,AL,Slugging Average,Nap Lajoie,Cleveland,0.518
1903,AL,Stolen Bases,Harry Bay,Cleveland,45.0
1903,AL,Total Bases,Buck Freeman,Boston,281.0
1903,AL,Triples,Sam Crawford,Detroit,25.0
1904,AL,Base on Balls,Jimmy Barrett,Detroit,79.0
1904,AL,Batting Average,Nap Lajoie,Cleveland,0.376
1904,AL,Doubles,Nap Lajoie,Cleveland,49.0
1904,AL,Hits,Nap Lajoie,Cleveland,211.0
1904,AL,Home Runs,Harry Davis,Philadelphia,10.0
1904,AL,On Base Percentage,Nap Lajoie,Cleveland,0.413
1904,AL,RBI,Nap Lajoie,Cleveland,102.0
1904,AL,Runs,Patsy Dougherty,Boston,113.0
1904,AL,Runs,Patsy Dougherty,New York,113.0
1904,AL,Slugging Average,Nap Lajoie,Cleveland,0.552
1904,AL,Stolen Bases,Harry Bay,Cleveland,38.0
1904,AL,Total Bases,Nap Lajoie,Cleveland,305.0
1904,AL,Triples,Joe Cassidy,Washington,19.0
1904,AL,Triples,Buck Freeman,Boston,19.0
1904,AL,Triples,Chick Stahl,Boston,19.0
1905,AL,Base on Balls,Topsy Hartsel,Philadelphia,121.0
1905,AL,Batting Average,Elmer Flick,Cleveland,0.308
1905,AL,Doubles,Harry Davis,Philadelphia,47.0
1905,AL,Hits,George Stone,St. Louis,187.0
1905,AL,Home Runs,Harry Davis,Philadelphia,8.0
1905,AL,On Base Percentage,Topsy Hartsel,Philadelphia,0.409
1905,AL,RBI,Harry Davis,Philadelphia,83.0
1905,AL,Runs,Harry Davis,Philadelphia,93.0
1905,AL,Slugging Average,Elmer Flick,Cleveland,0.462
1905,AL,Stolen Bases,Danny Hoffman,Philadelphia,46.0
1905,AL,Total Bases,George Stone,St. Louis,259.0
1905,AL,Triples,Elmer Flick,Cleveland,18.0
1906,AL,Base on Balls,Topsy Hartsel,Philadelphia,88.0
1906,AL,Batting Average,George Stone,St. Louis,0.358
1906,AL,Doubles,Nap Lajoie,Cleveland,48.0
1906,AL,Hits,Nap Lajoie,Cleveland,214.0
1906,AL,Home Runs,Harry Davis,Philadelphia,12.0
1906,AL,On Base Percentage,George Stone,St. Louis,0.417
1906,AL,RBI,Harry Davis,Philadelphia,96.0
1906,AL,Runs,Elmer Flick,Cleveland,98.0
1906,AL,Slugging Average,George Stone,St. Louis,0.501
1906,AL,Stolen Bases,John Anderson,Washington,39.0
1906,AL,Stolen Bases,Elmer Flick,Cleveland,39.0
1906,AL,Total Bases,George Stone,St. Louis,291.0
1906,AL,Triples,Elmer Flick,Cleveland,22.0
1907,AL,Base on Balls,Topsy Hartsel,Philadelphia,106.0
1907,AL,Batting Average,Ty Cobb,Detroit,0.35
1907,AL,Doubles,Harry Davis,Philadelphia,35.0
1907,AL,Hits,Ty Cobb,Detroit,212.0
1907,AL,Home Runs,Harry Davis,Philadelphia,8.0
1907,AL,On Base Percentage,Topsy Hartsel,Philadelphia,0.405
1907,AL,RBI,Ty Cobb,Detroit,119.0
1907,AL,Runs,Sam Crawford,Detroit,102.0
1907,AL,Slugging Average,Ty Cobb,Detroit,0.468
1907,AL,Stolen Bases,Ty Cobb,Detroit,49.0
1907,AL,Total Bases,Ty Cobb,Detroit,283.0
1907,AL,Triples,Elmer Flick,Cleveland,18.0
1908,AL,Base on Balls,Topsy Hartsel,Philadelphia,93.0
1908,AL,Batting Average,Ty Cobb,Detroit,0.324
1908,AL,Doubles,Ty Cobb,Detroit,36.0
1908,AL,Hits,Ty Cobb,Detroit,188.0
1908,AL,Home Runs,Sam Crawford,Detroit,7.0
1908,AL,On Base Percentage,Doc Gessler,Boston,0.394
1908,AL,RBI,Ty Cobb,Detroit,108.0
1908,AL,Runs,Matty McIntyre,Detroit,105.0
1908,AL,Slugging Average,Ty Cobb,Detroit,0.476
1908,AL,Stolen Bases,Patsy Dougherty,Chicago,47.0
1908,AL,Total Bases,Ty Cobb,Detroit,276.0
1908,AL,Triples,Ty Cobb,Detroit,20.0
1909,AL,Base on Balls,Donie Bush,Detroit,88.0
1909,AL,Batting Average,Ty Cobb,Detroit,0.377
1909,AL,Doubles,Sam Crawford,Detroit,35.0
1909,AL,Hits,Ty Cobb,Detroit,216.0
1909,AL,Home Runs,Ty Cobb,Detroit,9.0
1909,AL,On Base Percentage,Ty Cobb,Detroit,0.431
1909,AL,RBI,Ty Cobb,Detroit,107.0
1909,AL,Runs,Ty Cobb,Detroit,116.0
1909,AL,Slugging Average,Ty Cobb,Detroit,0.517
1909,AL,Stolen Bases,Ty Cobb,Detroit,76.0
1909,AL,Total Bases,Ty Cobb,Detroit,296.0
1909,AL,Triples,Frank Baker,Philadelphia,19.0
1910,AL,Base on Balls,Donie Bush,Detroit,78.0
1910,AL,Batting Average *,Nap Lajoie,Detroit,0.384
1910,AL,Doubles,Nap Lajoie,Cleveland,51.0
1910,AL,Hits,Nap Lajoie,Cleveland,227.0
1910,AL,Home Runs,Jake Stahl,Boston,10.0
1910,AL,On Base Percentage,Ty Cobb,Detroit,0.455
1910,AL,RBI,Sam Crawford,Detroit,120.0
1910,AL,Runs,Ty Cobb,Detroit,106.0
1910,AL,Slugging Average,Ty Cobb,Detroit,0.549
1910,AL,Stolen Bases,Eddie Collins,Philadelphia,81.0
1910,AL,Total Bases,Nap Lajoie,Cleveland,304.0
1910,AL,Triples,Sam Crawford,Detroit,19.0
1911,AL,Base on Balls,Donie Bush,Detroit,98.0
1911,AL,Batting Average,Ty Cobb,Detroit,0.419
1911,AL,Doubles,Ty Cobb,Detroit,47.0
1911,AL,Hits,Ty Cobb,Detroit,248.0
1911,AL,Home Runs,Frank Baker,Philadelphia,11.0
1911,AL,On Base Percentage,Joe Jackson,Cleveland,0.468
1911,AL,RBI,Ty Cobb,Detroit,127.0
1911,AL,Runs,Ty Cobb,Detroit,147.0
1911,AL,Slugging Average,Ty Cobb,Detroit,0.62
1911,AL,Stolen Bases,Ty Cobb,Detroit,83.0
