Year,League,Statistic,Team,Value
1901,AL,Base on Balls,Chicago,475.0
1901,AL,Batting Average,Baltimore,0.294
1901,AL,Doubles,Philadelphia,239.0
1901,AL,Hits,Philadelphia,1409.0
1901,AL,Home Runs,Boston,37.0
1901,AL,On Base Percentage,Baltimore,0.353
1901,AL,Runs,Chicago,819.0
1901,AL,Slugging Average,Baltimore,0.397
1901,AL,Stolen Bases,Chicago,280.0
1901,AL,Triples,Baltimore,111.0
1902,AL,Base on Balls,Baltimore,417.0
1902,AL,Batting Average,Cleveland,0.289
1902,AL,Doubles,Washington,261.0
1902,AL,Hits,Cleveland,1401.0
1902,AL,Home Runs,Washington,47.0
1902,AL,On Base Percentage,Baltimore,0.342
1902,AL,Runs,Philadelphia,775.0
1902,AL,Slugging Average,Washington,0.395
1902,AL,Stolen Bases,Chicago,265.0
1902,AL,Triples,Baltimore,107.0
1903,AL,Base on Balls,New York,332.0
1903,AL,Batting Average,Boston,0.272
1903,AL,Doubles,Cleveland,231.0
1903,AL,Hits,Boston,1336.0
1903,AL,Home Runs,Boston,48.0
1903,AL,On Base Percentage,Detroit,0.318
1903,AL,Runs,Boston,708.0
1903,AL,Slugging Average,Boston,0.392
1903,AL,Stolen Bases,Chicago,180.0
1903,AL,Triples,Boston,113.0
1904,AL,Base on Balls,Chicago,373.0
1904,AL,Batting Average,Cleveland,0.26
1904,AL,Doubles,Cleveland,225.0
1904,AL,Hits,New York,1354.0
1904,AL,Home Runs,Philadelphia,31.0
1904,AL,On Base Percentage,Cleveland,0.308
1904,AL,Runs,Cleveland,647.0
1904,AL,Slugging Average,Cleveland,0.354
1904,AL,Stolen Bases,Chicago,216.0
1904,AL,Triples,Boston,105.0
1905,AL,Base on Balls,Boston,486.0
1905,AL,Batting Average,Philadelphia,0.255
1905,AL,Doubles,Philadelphia,256.0
1905,AL,Hits,Cleveland,1318.0
1905,AL,Home Runs,Boston,29.0
1905,AL,On Base Percentage,Philadelphia,0.31
1905,AL,Runs,Philadelphia,623.0
1905,AL,Slugging Average,Philadelphia,0.338
1905,AL,Stolen Bases,New York,200.0
1905,AL,Triples,Cleveland,72.0
1906,AL,Base on Balls,Chicago,453.0
1906,AL,Batting Average,Cleveland,0.279
1906,AL,Doubles,Cleveland,240.0
1906,AL,Hits,Cleveland,1514.0
1906,AL,Home Runs,Philadelphia,32.0
1906,AL,On Base Percentage,Cleveland,0.325
1906,AL,Runs,Cleveland,663.0
1906,AL,Slugging Average,Cleveland,0.357
1906,AL,Stolen Bases,Washington,233.0
1906,AL,Triples,New York,77.0
1907,AL,Base on Balls,Chicago,421.0
1907,AL,Batting Average,Detroit,0.266
1907,AL,Doubles,Philadelphia,220.0
1907,AL,Hits,Detroit,1383.0
1907,AL,Home Runs,Philadelphia,22.0
1907,AL,On Base Percentage,Detroit,0.313
1907,AL,Runs,Detroit,694.0
1907,AL,Slugging Average,Detroit,0.335
1907,AL,Stolen Bases,Washington,223.0
1907,AL,Triples,Detroit,75.0
1908,AL,Base on Balls,Chicago,463.0
1908,AL,Batting Average,Detroit,0.263
1908,AL,Doubles,Detroit,199.0
1908,AL,Hits,Detroit,1347.0
1908,AL,Home Runs,Philadelphia,21.0
1908,AL,On Base Percentage,Detroit,0.312
1908,AL,Runs,Detroit,647.0
1908,AL,Slugging Average,Detroit,0.347
1908,AL,Stolen Bases,New York,231.0
1908,AL,Triples,Boston,88.0
1909,AL,Base on Balls,Chicago,441.0
1909,AL,Batting Average,Detroit,0.267
1909,AL,Doubles,Detroit,209.0
1909,AL,Hits,Detroit,1360.0
1909,AL,Home Runs,Philadelphia,21.0
1909,AL,On Base Percentage,Detroit,0.325
1909,AL,Runs,Detroit,666.0
1909,AL,Slugging Average,Philadelphia,0.343
1909,AL,Stolen Bases,Detroit,280.0
1909,AL,Triples,Philadelphia,88.0
1910,AL,Base on Balls,New York,464.0
1910,AL,Batting Average,Philadelphia,0.266
1910,AL,Doubles,Philadelphia,191.0
1910,AL,Hits,Philadelphia,1373.0
1910,AL,Home Runs,Boston,43.0
1910,AL,On Base Percentage,Detroit,0.329
1910,AL,Runs,Detroit,679.0
1910,AL,Slugging Average,Philadelphia,0.355
1910,AL,Stolen Bases,New York,288.0
1910,AL,Triples,Philadelphia,105.0
1911,AL,Base on Balls,Boston,506.0
1911,AL,Batting Average,Philadelphia,0.296
1911,AL,Doubles,Cleveland,238.0
1911,AL,Hits,Detroit,1544.0
1911,AL,Home Runs,Boston,35.0
1911,AL,On Base Percentage,Philadelphia,0.357
1911,AL,Runs,Philadelphia,861.0
1911,AL,Slugging Average,Philadelphia,0.398
1911,AL,Stolen Bases,Detroit,276.0
1911,AL,Triples,Detroit,96.0
1912,AL,Base on Balls,Boston,565.0
1912,AL,Batting Average,Philadelphia,0.282
1912,AL,Doubles,Boston,269.0
1912,AL,Hits,Philadelphia,1442.0
1912,AL,Home Runs,Boston,29.0
1912,AL,On Base Percentage,Boston,0.355
1912,AL,Runs,Boston,799.0
1912,AL,Slugging Average,Boston,0.38
1912,AL,Stolen Bases,Washington,274.0
1912,AL,Triples,Philadelphia,108.0
1913,AL,Base on Balls,New York,534.0
1913,AL,Batting Average,Philadelphia,0.28
1913,AL,Doubles,Philadelphia,223.0
1913,AL,Hits,Philadelphia,1412.0
1913,AL,Home Runs,Philadelphia,33.0
1913,AL,On Base Percentage,Philadelphia,0.356
1913,AL,Runs,Philadelphia,794.0
1913,AL,Slugging Average,Philadelphia,0.375
1913,AL,Stolen Bases,Washington,287.0
1913,AL,Triples,Boston,101.0
1914,AL,Base on Balls,New York,577.0
1914,AL,Batting Average,Philadelphia,0.272
1914,AL,Doubles,Boston,226.0
1914,AL,Hits,Philadelphia,1392.0
1914,AL,Home Runs,Philadelphia,29.0
1914,AL,On Base Percentage,Philadelphia,0.348
1914,AL,Runs,Philadelphia,749.0
1914,AL,Slugging Average,Philadelphia,0.352
1914,AL,Stolen Bases,New York,251.0
1914,AL,Triples,Boston,85.0
1915,AL,Base on Balls,Detroit,681.0
1915,AL,Batting Average,Detroit,0.268
1915,AL,Doubles,Detroit,207.0
1915,AL,Hits,Detroit,1372.0
1915,AL,Home Runs,New York,31.0
1915,AL,On Base Percentage,Detroit,0.357
1915,AL,Runs,Detroit,778.0
1915,AL,Slugging Average,Detroit,0.358
1915,AL,Stolen Bases,Detroit,241.0
1915,AL,Triples,Chicago,102.0
1916,AL,Base on Balls,St. Louis,626.0
1916,AL,Batting Average,Detroit,0.264
1916,AL,Doubles,Cleveland,233.0
1916,AL,Hits,Detroit,1371.0
1916,AL,Home Runs,New York,35.0
1916,AL,On Base Percentage,Detroit,0.337
1916,AL,Runs,Detroit,673.0
1916,AL,Slugging Average,Detroit,0.35
1916,AL,Stolen Bases,St. Louis,234.0
1916,AL,Triples,Chicago,100.0
1917,AL,Base on Balls,Cleveland,549.0
1917,AL,Batting Average,Detroit,0.259
1917,AL,Doubles,Cleveland,218.0
1917,AL,Hits,Detroit,1317.0
1917,AL,Home Runs,New York,27.0
1917,AL,On Base Percentage,Chicago,0.329
1917,AL,Runs,Chicago,656.0
1917,AL,Slugging Average,Detroit,0.344
1917,AL,Stolen Bases,Chicago,219.0
1917,AL,Triples,Chicago,81.0
1918,AL,Base on Balls,Cleveland,491.0
1918,AL,Batting Average,Cleveland,0.26
1918,AL,Doubles,Cleveland,176.0
1918,AL,Hits,Washington,1144.0
1918,AL,Home Runs,Philadelphia,22.0
1918,AL,On Base Percentage,Cleveland,0.344
1918,AL,Runs,Cleveland,504.0
1918,AL,Slugging Average,Cleveland,0.341
1918,AL,Stolen Bases,Cleveland,165.0
1918,AL,Triples,Cleveland,67.0
1919,AL,Base on Balls,Cleveland,498.0
1919,AL,Batting Average,Chicago,0.287
1919,AL,Doubles,Cleveland,254.0
1919,AL,Hits,Chicago,1343.0
1919,AL,Home Runs,New York,45.0
1919,AL,On Base Percentage,Cleveland,0.354
1919,AL,Runs,Chicago,667.0
1919,AL,Slugging Average,Cleveland,0.381
