Year,League,Statistic,Team,Value
1901,AL,Complete Games,Philadelphia,124.0
1901,AL,ERA,Chicago,2.98
1901,AL,Fewest Hits Allowed,Boston,1178.0
1901,AL,Fewest Home Runs Allowed,Philadelphia,20.0
1901,AL,Fewest Walks Allowed,Washington,284.0
1901,AL,Saves,Cleveland,4.0
1901,AL,Shutouts,Chicago,11.0
1901,AL,Strikeouts,Boston,396.0
1902,AL,Complete Games,Washington,130.0
1902,AL,ERA,Boston,3.02
1902,AL,Fewest Hits Allowed,Cleveland,1199.0
1902,AL,Fewest Home Runs Allowed,Detroit,20.0
1902,AL,Fewest Walks Allowed,Washington,312.0
1902,AL,Saves,Cleveland,3.0
1902,AL,Shutouts,Cleveland,16.0
1902,AL,Strikeouts,Philadelphia,455.0
1903,AL,Complete Games,Cleveland,125.0
1903,AL,ERA,Boston,2.57
1903,AL,Fewest Hits Allowed,Philadelphia,1124.0
1903,AL,Fewest Home Runs Allowed,Cleveland,16.0
1903,AL,Fewest Walks Allowed,St. Louis,237.0
1903,AL,Saves,Boston,4.0
1903,AL,Shutouts,Boston,20.0
1903,AL,Strikeouts,Philadelphia,728.0
1904,AL,Complete Games,Boston,148.0
1904,AL,ERA,Boston,2.12
1904,AL,Fewest Hits Allowed,Philadelphia,1149.0
1904,AL,Fewest Home Runs Allowed,Cleveland,10.0
1904,AL,Fewest Walks Allowed,Boston,233.0
1904,AL,Saves,Washington,4.0
1904,AL,Shutouts,Chicago,26.0
1904,AL,Strikeouts,Philadelphia,887.0
1905,AL,Complete Games,Cleveland,140.0
1905,AL,ERA,Chicago,1.99
1905,AL,Fewest Hits Allowed,Philadelphia,1137.0
1905,AL,Fewest Walks Allowed,Boston,292.0
1905,AL,Saves,New York,4.0
1905,AL,Shutouts,Philadelphia,19.0
1905,AL,Strikeouts,Philadelphia,895.0
1906,AL,Complete Games,Cleveland,133.0
1906,AL,ERA,Cleveland,2.09
1906,AL,Fewest Hits Allowed,St. Louis,1132.0
1906,AL,Fewest Home Runs Allowed,Philadelphia,9.0
1906,AL,Fewest Walks Allowed,Chicago,255.0
1906,AL,Saves,Boston,6.0
1906,AL,Shutouts,Chicago,32.0
1906,AL,Strikeouts,Philadelphia,749.0
1907,AL,Complete Games,St. Louis,129.0
1907,AL,ERA,Chicago,2.22
1907,AL,Fewest Hits Allowed,Philadelphia,1106.0
1907,AL,Fewest Home Runs Allowed,Cleveland,8.0
1907,AL,Fewest Walks Allowed,Chicago,305.0
1907,AL,Saves,Chicago,9.0
1907,AL,Shutouts,Philadelphia,27.0
1907,AL,Strikeouts,Philadelphia,789.0
1908,AL,Complete Games,Detroit,119.0
1908,AL,ERA,Cleveland,2.02
1908,AL,Fewest Hits Allowed,St. Louis,1151.0
1908,AL,Fewest Home Runs Allowed,St. Louis,7.0
1908,AL,Fewest Walks Allowed,Chicago,284.0
1908,AL,Saves,Chicago,10.0
1908,AL,Shutouts,Chicago,23.0
1908,AL,Strikeouts,Philadelphia,741.0
1909,AL,Complete Games,Detroit,117.0
1909,AL,ERA,Philadelphia,1.93
1909,AL,Fewest Hits Allowed,Philadelphia,1069.0
1909,AL,Fewest Home Runs Allowed,Chicago,8.0
1909,AL,Fewest Walks Allowed,Chicago,340.0
1909,AL,Saves,Boston,15.0
1909,AL,Shutouts,Philadelphia,27.0
1909,AL,Strikeouts,Philadelphia,728.0
1910,AL,Complete Games,Philadelphia,123.0
1910,AL,ERA,Philadelphia,1.79
1910,AL,Fewest Hits Allowed,Philadelphia,1103.0
1910,AL,Fewest Home Runs Allowed,Philadelphia,8.0
1910,AL,Fewest Walks Allowed,New York,364.0
1910,AL,Saves,New York,8.0
1910,AL,Shutouts,Philadelphia,24.0
1910,AL,Strikeouts,Philadelphia,789.0
1911,AL,Complete Games,Detroit,108.0
1911,AL,ERA,Boston,2.74
1911,AL,Fewest Hits Allowed,Boston,1309.0
1911,AL,Fewest Home Runs Allowed,Cleveland,17.0
1911,AL,Fewest Walks Allowed,Chicago,384.0
1911,AL,Saves,Philadelphia,13.0
1911,AL,Shutouts,Chicago,17.0
1911,AL,Strikeouts,Chicago,752.0
1912,AL,Complete Games,Boston,108.0
1912,AL,ERA,Washington,2.69
