Year,League,Statistic,Player_Name,Team,Value
1914,FL,Base on Balls,Al Wickland,Chicago,81.0
1914,FL,Batting Average,Benny Kauff,Indianapolis,0.37
1914,FL,Doubles,Benny Kauff,Indianapolis,44.0
1914,FL,Hits,Benny Kauff,Indianapolis,211.0
1914,FL,Home Runs,Dutch Zwilling,Chicago,16.0
1914,FL,On Base Percentage,Benny Kauff,Indianapolis,0.447
1914,FL,RBI,Frank LaPorte,Indianapolis,107.0
1914,FL,Runs,Benny Kauff,Indianapolis,120.0
1914,FL,Slugging Average,Steve Evans,Brooklyn,0.556
1914,FL,Stolen Bases,Benny Kauff,Indianapolis,75.0
1914,FL,Total Bases,Benny Kauff,Indianapolis,305.0
1914,FL,Triples,Jimmy Esmond,Indianapolis,15.0
1914,FL,Triples,Steve Evans,Brooklyn,15.0
1915,FL,Base on Balls,Babe Borton,St. Louis,92.0
1915,FL,Batting Average,Benny Kauff,Brooklyn,0.342
1915,FL,Doubles,Steve Evans,Brooklyn,34.0
1915,FL,Doubles,Steve Evans,Baltimore,34.0
1915,FL,Hits,Jack Tobin,St. Louis,184.0
1915,FL,Home Runs,Hal Chase,Buffalo,17.0
1915,FL,On Base Percentage,Benny Kauff,Brooklyn,0.446
1915,FL,RBI,Dutch Zwilling,Chicago,94.0
1915,FL,Runs,Babe Borton,St. Louis,97.0
1915,FL,Slugging Average,Benny Kauff,Brooklyn,0.509
1915,FL,Stolen Bases,Benny Kauff,Brooklyn,55.0
1915,FL,Total Bases,Ed Konetchy,Pittsburgh,278.0
1915,FL,Triples,Les Mann,Chicago,19.0
