Year,League,Statistic,Team,Value
1914,FL,Base on Balls,Chicago,520.0
1914,FL,Batting Average,Indianapolis,0.285
1914,FL,Doubles,Indianapolis,230.0
1914,FL,Hits,Indianapolis,1474.0
1914,FL,Home Runs,Chicago,52.0
1914,FL,On Base Percentage,Indianapolis,0.349
1914,FL,Runs,Indianapolis,762.0
1914,FL,Slugging Average,Indianapolis,0.383
1914,FL,Stolen Bases,Indianapolis,273.0
1914,FL,Triples,Indianapolis,90.0
1915,FL,Base on Balls,St. Louis,576.0
1915,FL,Batting Average,Brooklyn,0.268
1915,FL,Doubles,Newark,210.0
1915,FL,Hits,Brooklyn,1348.0
1915,FL,Home Runs,Chicago,50.0
1915,FL,On Base Percentage,St. Louis,0.34
1915,FL,Runs,Brooklyn,647.0
1915,FL,Slugging Average,Brooklyn,0.36
1915,FL,Stolen Bases,Brooklyn,249.0
1915,FL,Triples,St. Louis,81.0
