Year,League,Statistic,Player_Name,Team,Value
1890,PL,Base on Balls,Bill Joyce,Brooklyn,123.0
1890,PL,Batting Average,Pete Browning,Cleveland,0.373
1890,PL,Doubles,Pete Browning,Cleveland,40.0
1890,PL,Hits,Hugh Duffy,Chicago,191.0
1890,PL,Home Runs,Roger Connor,New York,14.0
1890,PL,On Base Percentage,Dan Brouthers,Boston,0.466
1890,PL,RBI,Hardy Richardson,Boston,146.0
1890,PL,Runs,Hugh Duffy,Chicago,161.0
1890,PL,Slugging Average,Roger Connor,New York,0.548
1890,PL,Total Bases,Billy Shindle,Philadelphia,282.0
1890,PL,Triples,Jake Beckley,Pittsburgh,22.0
1890,PL,Triples,Joe Visner,Pittsburgh,22.0
