Year,League,Statistic,Player_Name,Team,Value
1884,UA,Base on Balls,Yank Robinson,Baltimore,37.0
1884,UA,Batting Average,Fred Dunlap,St. Louis,0.412
1884,UA,Doubles,Orator Shaffer,St. Louis,40.0
1884,UA,Hits,Fred Dunlap,St. Louis,185.0
1884,UA,Home Runs,Fred Dunlap,St. Louis,13.0
1884,UA,On Base Percentage,Fred Dunlap,St. Louis,0.448
1884,UA,RBI,Data Not Kept,,
1884,UA,Runs,Fred Dunlap,St. Louis,160.0
1884,UA,Slugging Average,Fred Dunlap,St. Louis,0.621
1884,UA,Total Bases,Fred Dunlap,St. Louis,279.0
1884,UA,Triples,Dick Burns,Cincinnati,12.0
