Year,League,Statistic,Team,Value
1876,NL,Base on Balls,Chicago,70.0
1876,NL,Batting Average,Chicago,0.337
1876,NL,Doubles,Chicago,131.0
1876,NL,Hits,Chicago,926.0
1876,NL,Home Runs,Boston,9.0
1876,NL,On Base Percentage,Chicago,0.353
1876,NL,Runs,Chicago,624.0
1876,NL,Slugging Average,Chicago,0.417
1876,NL,Triples,Philadelphia,35.0
1877,NL,Base on Balls,Cincinnati,78.0
1877,NL,Batting Average,Boston,0.296
1877,NL,Doubles,Boston,91.0
1877,NL,Hits,Boston,700.0
1877,NL,Home Runs,Louisville,9.0
1877,NL,On Base Percentage,Boston,0.314
1877,NL,Runs,Boston,419.0
1877,NL,Slugging Average,Boston,0.37
1877,NL,Triples,Boston,37.0
1878,NL,Base on Balls,Chicago,88.0
1878,NL,Batting Average,Chicago,0.29
1878,NL,Doubles,Providence,107.0
1878,NL,Hits,Chicago,677.0
1878,NL,Home Runs,Providence,8.0
1878,NL,On Base Percentage,Chicago,0.316
1878,NL,Runs,Chicago,371.0
1878,NL,Slugging Average,Chicago,0.35
1878,NL,Triples,Providence,30.0
1879,NL,Base on Balls,Providence,91.0
1879,NL,Batting Average,Providence,0.296
1879,NL,Doubles,Chicago,167.0
1879,NL,Hits,Providence,1003.0
1879,NL,Home Runs,Boston,20.0
1879,NL,On Base Percentage,Providence,0.314
1879,NL,Runs,Providence,612.0
1879,NL,Slugging Average,Providence,0.381
1879,NL,Triples,Providence,55.0
1880,NL,Base on Balls,Troy,120.0
1880,NL,Batting Average,Chicago,0.279
1880,NL,Doubles,Chicago,164.0
1880,NL,Hits,Chicago,876.0
1880,NL,Home Runs,Boston,20.0
1880,NL,On Base Percentage,Chicago,0.303
1880,NL,Runs,Chicago,538.0
1880,NL,Slugging Average,Chicago,0.36
1880,NL,Triples,Cleveland,52.0
1881,NL,Base on Balls,Providence,146.0
1881,NL,Batting Average,Chicago,0.295
1881,NL,Doubles,Buffalo,157.0
1881,NL,Hits,Chicago,918.0
1881,NL,Home Runs,Detroit,17.0
1881,NL,On Base Percentage,Chicago,0.325
1881,NL,Runs,Chicago,550.0
1881,NL,Slugging Average,Chicago,0.38
1881,NL,Triples,Detroit,53.0
1882,NL,Base on Balls,Chicago,142.0
1882,NL,Batting Average,Chicago,0.277
1882,NL,Doubles,Chicago,209.0
1882,NL,Hits,Chicago,892.0
1882,NL,Home Runs,Cleveland,20.0
1882,NL,On Base Percentage,Chicago,0.307
1882,NL,Runs,Chicago,604.0
1882,NL,Slugging Average,Chicago,0.389
1882,NL,Triples,Troy,59.0
1883,NL,Base on Balls,Detroit,166.0
1883,NL,Batting Average,Buffalo,0.284
1883,NL,Doubles,Chicago,277.0
1883,NL,Hits,Buffalo,1058.0
1883,NL,Home Runs,Boston,34.0
1883,NL,On Base Percentage,Buffalo,0.311
1883,NL,Runs,Chicago,679.0
1883,NL,Slugging Average,Boston,0.408
1883,NL,Triples,Boston,86.0
1884,NL,Base on Balls,Providence,300.0
1884,NL,Batting Average,Chicago,0.281
1884,NL,Doubles,Boston,179.0
1884,NL,Hits,Chicago,1176.0
