Year,League,Statistic,Team,Value
1876,NL,Complete Games,Hartford,69.0
1876,NL,ERA,St. Louis,1.22
1876,NL,Fewest Hits Allowed,St. Louis,472.0
1876,NL,Fewest Home Runs Allowed,Hartford,2.0
1876,NL,Fewest Walks Allowed,New York,24.0
1876,NL,Saves,Boston,7.0
1876,NL,Shutouts,St. Louis,16.0
1876,NL,Strikeouts,Louisville,125.0
1877,NL,Complete Games,Boston,61.0
1877,NL,ERA,Boston,2.15
1877,NL,Fewest Hits Allowed,Boston,557.0
1877,NL,Fewest Home Runs Allowed,Hartford,2.0
1877,NL,Fewest Walks Allowed,Boston,38.0
1877,NL,Saves,Chicago,3.0
1877,NL,Shutouts,Boston,7.0
1877,NL,Strikeouts,Boston,177.0
1878,NL,Complete Games,Cincinnati,61.0
1878,NL,ERA,Cincinnati,1.84
1878,NL,Fewest Hits Allowed,Cincinnati,546.0
1878,NL,Fewest Home Runs Allowed,Cincinnati,2.0
1878,NL,Fewest Walks Allowed,Chicago,35.0
1878,NL,Saves,Indianapolis,1.0
1878,NL,Shutouts,Boston,9.0
1878,NL,Strikeouts,Cincinnati,220.0
1879,NL,Complete Games,Chicago,82.0
1879,NL,ERA,Providence,2.18
1879,NL,Fewest Hits Allowed,Buffalo,698.0
1879,NL,Fewest Home Runs Allowed,Buffalo,3.0
1879,NL,Fewest Walks Allowed,Boston,46.0
1879,NL,Saves,Providence,2.0
1879,NL,Shutouts,Boston,13.0
1879,NL,Strikeouts,Providence,329.0
1880,NL,Complete Games,Cleveland,83.0
1880,NL,ERA,Providence,1.64
1880,NL,Fewest Hits Allowed,Chicago,622.0
1880,NL,Fewest Home Runs Allowed,Boston,2.0
1880,NL,Fewest Walks Allowed,Providence,51.0
1880,NL,Saves,Worcester,5.0
1880,NL,Shutouts,Providence,13.0
1880,NL,Strikeouts,Chicago,367.0
1881,NL,Complete Games,Troy,85.0
1881,NL,ERA,Providence,2.4
1881,NL,Fewest Hits Allowed,Chicago,722.0
1881,NL,Fewest Home Runs Allowed,Providence,5.0
1881,NL,Fewest Walks Allowed,Buffalo,89.0
1881,NL,Saves,Boston,3.0
1881,NL,Shutouts,Detroit,10.0
1881,NL,Strikeouts,Detroit,265.0
1882,NL,Complete Games,Chicago,83.0
1882,NL,ERA,Chicago,2.22
1882,NL,Fewest Hits Allowed,Chicago,667.0
1882,NL,Fewest Home Runs Allowed,Boston,10.0
1882,NL,Fewest Walks Allowed,Boston,77.0
1882,NL,Saves,Providence,1.0
1882,NL,Shutouts,Providence,10.0
1882,NL,Strikeouts,Detroit,354.0
1883,NL,Complete Games,Cleveland,92.0
1883,NL,ERA,Cleveland,2.22
1883,NL,Fewest Hits Allowed,Cleveland,818.0
1883,NL,Fewest Home Runs Allowed,Cleveland,7.0
1883,NL,Fewest Walks Allowed,Boston,90.0
1883,NL,Saves,Boston,3.0
1883,NL,Shutouts,Boston,6.0
1883,NL,Strikeouts,Boston,538.0
1884,NL,Complete Games,New York,111.0
1884,NL,ERA,Providence,1.61
1884,NL,Fewest Hits Allowed,Providence,825.0
1884,NL,Fewest Home Runs Allowed,Providence,26.0
1884,NL,Fewest Walks Allowed,Boston,135.0
1884,NL,Saves,Boston,2.0
1884,NL,Shutouts,Providence,16.0
1884,NL,Strikeouts,Boston,742.0
1885,NL,Complete Games,Boston,111.0
1885,NL,ERA,New York,1.72
1885,NL,Fewest Hits Allowed,New York,758.0
1885,NL,Fewest Home Runs Allowed,New York,11.0
1885,NL,Fewest Walks Allowed,Boston,188.0
1885,NL,Saves,Chicago,4.0
1885,NL,Shutouts,New York,16.0
1885,NL,Strikeouts,New York,516.0
1886,NL,Complete Games,Detroit,122.0
1886,NL,ERA,Philadelphia,2.45
1886,NL,Fewest Hits Allowed,Philadelphia,923.0
1886,NL,Fewest Home Runs Allowed,Detroit,20.0
1886,NL,Fewest Walks Allowed,Kansas City,246.0
1886,NL,Saves,Chicago,3.0
1886,NL,Shutouts,Philadelphia,10.0
1886,NL,Strikeouts,Chicago,647.0
1887,NL,Complete Games,Washington,124.0
1887,NL,ERA,Chicago,3.46
1887,NL,Fewest Hits Allowed,New York,1096.0
1887,NL,Fewest Home Runs Allowed,New York,27.0
1887,NL,Fewest Walks Allowed,Pittsburgh,246.0
1887,NL,Saves,Chicago,3.0
1887,NL,Shutouts,Philadelphia,7.0
1887,NL,Strikeouts,Chicago,510.0
1888,NL,Complete Games,Pittsburgh,135.0
1888,NL,ERA,New York,1.96
1888,NL,Fewest Hits Allowed,New York,907.0
1888,NL,Fewest Home Runs Allowed,Pittsburgh,23.0
1888,NL,Fewest Walks Allowed,Detroit,183.0
1888,NL,Saves,Philadelphia,3.0
1888,NL,Shutouts,New York,20.0
1888,NL,Strikeouts,New York,726.0
1889,NL,Complete Games,Cleveland,132.0
1889,NL,ERA,Boston,3.36
1889,NL,Fewest Hits Allowed,New York,1073.0
1889,NL,Fewest Home Runs Allowed,Philadelphia,33.0
1889,NL,Fewest Walks Allowed,Pittsburgh,374.0
1889,NL,Saves,Boston,4.0
1889,NL,Shutouts,Boston,10.0
1889,NL,Strikeouts,New York,558.0
1890,NL,Complete Games,Boston,132.0
1890,NL,ERA,Cincinnati,2.79
1890,NL,Fewest Hits Allowed,New York,1029.0
1890,NL,Fewest Home Runs Allowed,New York,14.0
1890,NL,Fewest Walks Allowed,Boston,354.0
1890,NL,Saves,Chicago,3.0
1890,NL,Shutouts,Boston,13.0
1890,NL,Strikeouts,New York,612.0
1891,NL,Complete Games,Boston,126.0
1891,NL,ERA,Boston,2.76
1891,NL,Fewest Hits Allowed,New York,1098.0
1891,NL,Fewest Home Runs Allowed,Cleveland,24.0
1891,NL,Fewest Walks Allowed,Boston,364.0
1891,NL,Saves,Boston,6.0
1891,NL,Shutouts,New York,11.0
1891,NL,Strikeouts,New York,651.0
1892,NL,Complete Games,Louisville,147.0
1892,NL,ERA,Cleveland,2.41
1892,NL,Fewest Hits Allowed,Boston,1156.0
1892,NL,Fewest Home Runs Allowed,Philadelphia,24.0
1892,NL,Fewest Walks Allowed,Cleveland,413.0
1892,NL,Saves,Brooklyn,5.0
1892,NL,Shutouts,Boston,15.0
1892,NL,Strikeouts,New York,650.0
1893,NL,Complete Games,Boston,114.0
1893,NL,ERA,St. Louis,4.06
1893,NL,Fewest Hits Allowed,Pittsburgh,1232.0
