Year,League,Division,Team,Wins,Losses,Ties,WP,GB,Payroll
1876,NL,Standard,Chicago White Stockings,52,14,,0.788,0.0,
1876,NL,Standard,St. Louis Brown Stockings,45,19,,0.703,6.0,
1876,NL,Standard,Hartford Dark Blues,47,21,,0.691,6.0,
1876,NL,Standard,Boston Red Caps,39,31,,0.557,15.0,
1876,NL,Standard,Louisville Grays,30,36,,0.455,22.0,
1876,NL,Standard,New York Mutuals,21,35,,0.375,26.0,
1876,NL,Standard,Philadelphia Athletics,14,45,,0.237,34.5,
1876,NL,Standard,Cincinnati Reds,9,56,,0.138,42.5,
1877,NL,Standard,Boston Red Caps,42,18,,0.7,0.0,
1877,NL,Standard,Louisville Grays,35,25,,0.583,7.0,
1877,NL,Standard,Hartford Dark Blues,31,27,,0.534,10.0,
1877,NL,Standard,St. Louis Brown Stockings,28,32,,0.467,14.0,
1877,NL,Standard,Chicago White Stockings,26,33,,0.441,15.5,
1877,NL,Standard,Cincinnati Reds,15,42,,0.263,25.5,
1878,NL,Standard,Boston Red Caps,41,19,,0.683,0.0,
1878,NL,Standard,Cincinnati Reds,37,23,,0.617,4.0,
1878,NL,Standard,Providence Grays,33,27,,0.55,8.0,
1878,NL,Standard,Chicago White Stockings,30,30,,0.5,11.0,
1878,NL,Standard,Indianapolis Blues,24,36,,0.4,17.0,
1878,NL,Standard,Milwaukee Grays,15,45,,0.25,26.0,
1879,NL,Standard,Providence Grays,59,25,,0.702,0.0,
1879,NL,Standard,Boston Red Caps,54,30,,0.643,5.0,
1879,NL,Standard,Buffalo Bisons,46,32,,0.59,10.0,
1879,NL,Standard,Chicago White Stockings,46,33,,0.582,10.5,
1879,NL,Standard,Cincinnati Reds,43,37,,0.538,14.0,
1879,NL,Standard,Cleveland Blues,27,55,,0.329,31.0,
1879,NL,Standard,Syracuse Stars,22,48,,0.314,30.0,
1879,NL,Standard,Troy Trojans,19,56,,0.253,35.5,
1880,NL,Standard,Chicago White Stockings,67,17,,0.798,0.0,
1880,NL,Standard,Providence Grays,52,32,,0.619,15.0,
1880,NL,Standard,Cleveland Blues,47,37,,0.56,20.0,
1880,NL,Standard,Troy Trojans,41,42,,0.494,25.5,
1880,NL,Standard,Worcester Ruby Legs,40,43,,0.482,26.5,
1880,NL,Standard,Boston Red Caps,40,44,,0.476,27.0,
1880,NL,Standard,Buffalo Bisons,24,58,,0.293,42.0,
1880,NL,Standard,Cincinnati Reds,21,59,,0.263,44.0,
1881,NL,Standard,Chicago White Stockings,56,28,,0.667,0.0,
1881,NL,Standard,Providence Grays,47,37,,0.56,9.0,
1881,NL,Standard,Buffalo Bisons,45,38,,0.542,10.5,
1881,NL,Standard,Detroit Wolverines,41,43,,0.488,15.0,
1881,NL,Standard,Troy Trojans,39,45,,0.464,17.0,
1881,NL,Standard,Boston Red Caps,38,45,,0.458,17.5,
1881,NL,Standard,Cleveland Blues,36,48,,0.429,20.0,
1881,NL,Standard,Worcester Ruby Legs,32,50,,0.39,23.0,
1882,NL,Standard,Chicago White Stockings,55,29,,0.655,0.0,
1882,NL,Standard,Providence Grays,52,32,,0.619,3.0,
1882,NL,Standard,Buffalo Bisons,45,39,,0.536,10.0,
1882,NL,Standard,Boston Red Caps,45,39,,0.536,10.0,
1882,NL,Standard,Cleveland Blues,42,40,,0.512,12.0,
1882,NL,Standard,Detroit Wolverines,42,41,,0.506,12.5,
1882,NL,Standard,Troy Trojans,35,48,,0.422,19.5,
1882,NL,Standard,Worcester Ruby Legs,18,66,,0.214,37.0,
1883,NL,Standard,Boston Beaneaters,63,35,,0.643,0.0,
1883,NL,Standard,Chicago White Stockings,59,39,,0.602,4.0,
1883,NL,Standard,Providence Grays,58,40,,0.592,5.0,
1883,NL,Standard,Cleveland Blues,55,42,,0.567,7.5,
1883,NL,Standard,Buffalo Bisons,52,45,,0.536,10.5,
1883,NL,Standard,New York Gothams,46,50,,0.479,16.0,
1883,NL,Standard,Detroit Wolverines,40,58,,0.408,23.0,
1883,NL,Standard,Philadelphia Phillies,17,81,,0.173,46.0,
1884,NL,Standard,Providence Grays,84,28,,0.75,0.0,
1884,NL,Standard,Boston Beaneaters,73,38,,0.658,10.5,
1884,NL,Standard,Buffalo Bisons,64,47,,0.577,19.5,
1884,NL,Standard,New York Gothams,62,50,,0.554,22.0,
1884,NL,Standard,Chicago White Stockings,62,50,,0.554,22.0,
1884,NL,Standard,Philadelphia Phillies,39,73,,0.348,45.0,
1884,NL,Standard,Cleveland Blues,35,77,,0.313,49.0,
1884,NL,Standard,Detroit Wolverines,28,84,,0.25,56.0,
1885,NL,Standard,Chicago White Stockings,87,25,,0.777,0.0,
1885,NL,Standard,New York Giants,85,27,,0.759,2.0,
1885,NL,Standard,Philadelphia Phillies,56,54,,0.509,30.0,
1885,NL,Standard,Providence Grays,53,57,,0.482,33.0,
1885,NL,Standard,Boston Beaneaters,46,66,,0.411,41.0,
1885,NL,Standard,Detroit Wolverines,41,67,,0.38,44.0,
1885,NL,Standard,Buffalo Bisons,38,74,,0.339,49.0,
1885,NL,Standard,St. Louis Maroons,36,72,,0.333,49.0,
1886,NL,Standard,Chicago White Stockings,90,34,,0.726,0.0,
1886,NL,Standard,Detroit Wolverines,87,36,,0.707,2.5,
1886,NL,Standard,New York Giants,75,44,,0.63,12.5,
1886,NL,Standard,Philadelphia Phillies,71,43,,0.623,14.0,
1886,NL,Standard,Boston Beaneaters,56,61,,0.479,30.5,
1886,NL,Standard,St. Louis Maroons,43,79,,0.352,46.0,
1886,NL,Standard,Kansas City Cowboys,30,91,,0.248,58.5,
1886,NL,Standard,Washington Senators,28,92,,0.233,60.0,
