Year,League,Statistic,Player_Name,Team,Value
1882,AA,Base on Balls,Jack Gleason,St. Louis,27
1882,AA,Batting Average,Pete Browning,Louisville,.378
1882,AA,Doubles,Mike Mansell,Pittsburgh,18
1882,AA,Doubles,Ed Swartwood,Pittsburgh,18
1882,AA,Hits,Hick Carpenter,Cincinnati,120
1882,AA,Home Runs,Oscar Walker,St. Louis,7
1882,AA,On Base Percentage,Pete Browning,Louisville,.430
1882,AA,RBI,Data Not Kept,n/a,n/a
1882,AA,Runs,Ed Swartwood,Pittsburgh,86
1882,AA,Slugging Average,Pete Browning,Louisville,.510
1882,AA,Total Bases,Ed Swartwood,Pittsburgh,159
1882,AA,Triples,Mike Mansell,Pittsburgh,16
1883,AA,Base on Balls,Ecky Stearns,Baltimore,34
1883,AA,Batting Average,Ed Swartwood,Pittsburgh,.357
1883,AA,Doubles,Harry Stovey,Philadelphia,31
1883,AA,Hits,Ed Swartwood,Pittsburgh,147
1883,AA,Home Runs,Harry Stovey,Philadelphia,14
1883,AA,On Base Percentage,Ed Swartwood,Pittsburgh,.394
1883,AA,RBI,Data Not Kept,n/a,n/a
1883,AA,Runs,Harry Stovey,Philadelphia,110
1883,AA,Slugging Average,Harry Stovey,Philadelphia,.506
1883,AA,Total Bases,Harry Stovey,Philadelphia,213
1883,AA,Triples,Pop Smith,Columbus,17
1884,AA,Base on Balls,Candy Nelson,New York,74
1884,AA,Batting Average,Dave Orr,New York,.354
1884,AA,Doubles,Sam Barkley,Toledo,39
1884,AA,Hits,Dave Orr,New York,162
1884,AA,Home Runs,John Reilly,Cincinnati,11
1884,AA,On Base Percentage,Charley Jones,Cincinnati,.376
1884,AA,RBI,Data Not Kept,n/a,n/a
1884,AA,Runs,Harry Stovey,Philadelphia,124
1884,AA,Slugging Average,John Reilly,Cincinnati,.551
1884,AA,Total Bases,Dave Orr,New York,247
1884,AA,Total Bases,John Reilly,Cincinnati,247
1884,AA,Triples,Harry Stovey,Philadelphia,23
1885,AA,Base on Balls,Candy Nelson,New York,61
1885,AA,Batting Average,Pete Browning,Louisville,.362
1885,AA,Doubles,Henry Larkin,Philadelphia,37
1885,AA,Hits,Pete Browning,Louisville,174
1885,AA,Home Runs,Harry Stovey,Philadelphia,13
1885,AA,On Base Percentage,Pete Browning,Louisville,.393
