Year,League,Statistic,Team,Value
1882,AA,Base on Balls,Louisville,128
1882,AA,Batting Average,Cincinnati,.264
1882,AA,Doubles,Louisville,110
1882,AA,Hits,Cincinnati,795
1882,AA,Home Runs,Pittsburgh,18
1882,AA,On Base Percentage,Louisville,.292
1882,AA,Runs,Cincinnati,489
1882,AA,Slugging Average,Pittsburgh,.348
1882,AA,Triples,Pittsburgh,59
1883,AA,Base on Balls,Philadelphia,200
1883,AA,Batting Average,Philadelphia,.262
1883,AA,Doubles,Philadelphia,149
1883,AA,Hits,Philadelphia,974
1883,AA,Home Runs,Cincinnati,34
1883,AA,On Base Percentage,Philadelphia,.300
1883,AA,Runs,Philadelphia,720
1883,AA,Slugging Average,Cincinnati,.363
1883,AA,Triples,Columbus,79
1884,AA,Base on Balls,Baltimore,211
1884,AA,Batting Average,Philadelphia,.267
1884,AA,Doubles,Philadelphia,167
1884,AA,Hits,Philadelphia,1057
1884,AA,Home Runs,Columbus,40
1884,AA,On Base Percentage,New York,.304
1884,AA,Runs,Cincinnati,754
1884,AA,Slugging Average,Philadelphia,.379
1884,AA,Triples,Philadelphia,100
1885,AA,Base on Balls,Baltimore,279
1885,AA,Batting Average,Philadelphia,.265
1885,AA,Doubles,Philadelphia,169
1885,AA,Hits,Philadelphia,1099
1885,AA,Home Runs,Philadelphia,30
1885,AA,On Base Percentage,Philadelphia,.310
1885,AA,Runs,Philadelphia,764
1885,AA,Slugging Average,Philadelphia,.365
1885,AA,Triples,Louisville,83
1886,AA,Base on Balls,Pittsburgh,478
1886,AA,Batting Average,St. Louis,.273
1886,AA,Doubles,St. Louis,206
1886,AA,Hits,St. Louis,1365
1886,AA,Home Runs,Cincinnati,45
1886,AA,On Base Percentage,St. Louis,.333
1886,AA,Runs,St. Louis,944
1886,AA,Slugging Average,St. Louis,.360
1886,AA,Triples,Pittsburgh,96
1887,AA,Base on Balls,Baltimore,469
1887,AA,Batting Average,St. Louis,.307
1887,AA,Doubles,St. Louis,261
1887,AA,Hits,St. Louis,1550
1887,AA,Home Runs,St. Louis,39
1887,AA,On Base Percentage,St. Louis,.371
1887,AA,Runs,St. Louis,1131
1887,AA,Slugging Average,St. Louis,.413
1887,AA,Triples,Cincinnati,96
1888,AA,Base on Balls,St. Louis,410
1888,AA,Batting Average,St. Louis,.250
1888,AA,Doubles,Philadelphia,183
1888,AA,Hits,Philadelphia,1209
1888,AA,Home Runs,St. Louis,36
1888,AA,On Base Percentage,St. Louis,.316
1888,AA,Runs,Philadelphia,827
1888,AA,Slugging Average,Philadelphia,.344
1888,AA,Triples,Philadelphia,89
1889,AA,Base on Balls,Brooklyn,550
1889,AA,Batting Average,Philadelphia,.275
1889,AA,Doubles,Philadelphia,239
1889,AA,Hits,Philadelphia,1339
1889,AA,Home Runs,St. Louis,58
1889,AA,On Base Percentage,Philadelphia,.354
1889,AA,Runs,Brooklyn,995
1889,AA,Slugging Average,Cincinnati,.382
1889,AA,Triples,Cincinnati,96
1890,AA,Base on Balls,Columbus,545
1890,AA,Batting Average,Louisville,.279
1890,AA,Doubles,Philadelphia,181
1890,AA,Hits,Louisville,1310
1890,AA,Home Runs,St. Louis,48
1890,AA,On Base Percentage,St. Louis,.350
1890,AA,Runs,St. Louis,870
1890,AA,Slugging Average,St. Louis,.370
1890,AA,Triples,Toledo,108
1891,AA,Base on Balls,Boston,651
1891,AA,Batting Average,Boston,.274
1891,AA,Doubles,Philadelphia,182
1891,AA,Hits,Boston,1341
1891,AA,Home Runs,St. Louis,58
1891,AA,On Base Percentage,Boston,.367
1891,AA,Runs,Boston,1028
1891,AA,Slugging Average,Boston,.380
1891,AA,Triples,Philadelphia,123
