Year,League,Division,Team,Wins,Losses,Ties,WP,GB,Payroll
1882,AA,Standard,Cincinnati Red Stockings,55,25,,.688,0,
1882,AA,Standard,Philadelphia Athletics,41,34,,.547,11½,
1882,AA,Standard,Louisville Eclipse,42,38,,.525,13,
1882,AA,Standard,Pittsburgh Alleghenys,39,39,,.500,15,
1882,AA,Standard,St. Louis Brown Stockings,37,43,,.463,18,
1882,AA,Standard,Baltimore Orioles,19,54,,.260,32½,
1883,AA,Standard,Philadelphia Athletics,66,32,,.673,0,
1883,AA,Standard,St. Louis Browns,65,33,,.663,1,
1883,AA,Standard,Cincinnati Red Stockings,61,37,,.622,5,
1883,AA,Standard,New York Metropolitans,54,42,,.563,11,
1883,AA,Standard,Louisville Eclipse,52,45,,.536,13½,
1883,AA,Standard,Columbus Colts,32,65,,.330,33½,
1883,AA,Standard,Pittsburgh Alleghenys,31,67,,.316,35,
1883,AA,Standard,Baltimore Orioles,28,68,,.292,37,
1884,AA,Standard,New York Metropolitans,75,32,,.701,0,
1884,AA,Standard,Columbus Colts,69,39,,.639,6½,
1884,AA,Standard,Louisville Colonels,68,40,,.630,7½,
1884,AA,Standard,St. Louis Browns,67,40,,.626,8,
1884,AA,Standard,Cincinnati Red Stockings,68,41,,.624,8,
1884,AA,Standard,Baltimore Orioles,63,43,,.594,11½,
1884,AA,Standard,Philadelphia Athletics,61,46,,.570,14,
1884,AA,Standard,Toledo Blue Stockings,46,58,,.442,27½,
1884,AA,Standard,Brooklyn Trolley Dodgers,40,64,,.385,33½,
1884,AA,Standard,Richmond Virginias,12,30,,.286,30½,
1884,AA,Standard,Pittsburgh Alleghenys,30,78,,.278,45½,
1884,AA,Standard,Indianapolis Blues,29,78,,.271,46,
1884,AA,Standard,Washington Nationals,12,51,,.190,41,
1885,AA,Standard,St. Louis Browns,79,33,,.705,0,
1885,AA,Standard,Cincinnati Red Stockings,63,49,,.563,16,
1885,AA,Standard,Pittsburgh Alleghenys,56,55,,.505,22½,
1885,AA,Standard,Philadelphia Athletics,55,57,,.491,24,
1885,AA,Standard,Louisville Colonels,53,59,,.473,26,
1885,AA,Standard,Brooklyn Trolley Dodgers,53,59,,.473,26,
1885,AA,Standard,New York Metropolitans,44,64,,.407,33,
1885,AA,Standard,Baltimore Orioles,41,68,,.376,36½,
1886,AA,Standard,St. Louis Browns,93,46,,.669,0,
1886,AA,Standard,Pittsburgh Alleghenys,80,57,,.584,12,
1886,AA,Standard,Brooklyn Trolley Dodgers,76,61,,.555,16,
1886,AA,Standard,Louisville Colonels,66,70,,.485,25½,
1886,AA,Standard,Cincinnati Red Stockings,65,73,,.471,27½,
1886,AA,Standard,Philadelphia Athletics,63,72,,.467,28,
1886,AA,Standard,New York Metropolitans,53,82,,.393,38,
1886,AA,Standard,Baltimore Orioles,48,83,,.366,41,
1887,AA,Standard,St. Louis Browns,95,40,,.704,0,
1887,AA,Standard,Cincinnati Red Stockings,81,54,,.600,14,
1887,AA,Standard,Baltimore Orioles,77,58,,.570,18,
1887,AA,Standard,Louisville Colonels,76,60,,.559,19½,
1887,AA,Standard,Philadelphia Athletics,64,69,,.481,30,
1887,AA,Standard,Brooklyn Trolley Dodgers,60,74,,.448,34½,
1887,AA,Standard,New York Metropolitans,44,89,,.331,50,
1887,AA,Standard,Cleveland Blues,39,92,,.298,54,
1888,AA,Standard,St. Louis Browns,92,43,,2,.681,
1888,AA,Standard,Brooklyn Trolley Dodgers,88,52,,3,.629,
1888,AA,Standard,Philadelphia Athletics,81,52,,3,.609,
1888,AA,Standard,Cincinnati Red Stockings,80,54,,3,.597,
1888,AA,Standard,Baltimore Orioles,57,80,,0,.416,
1888,AA,Standard,Cleveland Blues,50,82,,3,.379,
1888,AA,Standard,Louisville Colonels,48,87,,4,.356,
1888,AA,Standard,Kansas City Cowboys,43,89,,0,.326,
1889,AA,Standard,Brooklyn Bridegrooms,93,44,,.679,0,
1889,AA,Standard,St. Louis Browns,90,45,,.667,2,
1889,AA,Standard,Philadelphia Athletics,75,58,,.564,16,
1889,AA,Standard,Cincinnati Red Stockings,76,63,,.547,18,
1889,AA,Standard,Baltimore Orioles,70,65,,.519,22,
1889,AA,Standard,Columbus Colts,60,78,,.435,33½,
1889,AA,Standard,Kansas City Cowboys,55,82,,.401,38,
1889,AA,Standard,Louisville Colonels,27,111,,.196,66½,
1890,AA,Standard,Louisville Colonels,88,44,,4,.667,
1890,AA,Standard,Columbus Colts,79,55,,6,.590,
1890,AA,Standard,St. Louis Browns,78,58,,3,.574,
1890,AA,Standard,Toledo Maumees,68,64,,2,.515,
1890,AA,Standard,Rochester Rochesters,63,63,,7,.500,
1890,AA,Standard,Baltimore Orioles,15,19,,4,.441,
1890,AA,Standard,Syracuse Stars,55,72,,1,.433,
1890,AA,Standard,Philadelphia Athletics,54,78,,0,.409,
1890,AA,Standard,Brooklyn Gladiators,26,73,,1,.263,
1891,AA,Standard,Boston Reds,93,42,,4,.689,
1891,AA,Standard,St. Louis Browns,85,51,,3,.623,
1891,AA,Standard,Milwaukee Brewers,21,15,,0,.583,
1891,AA,Standard,Baltimore Orioles,71,64,,4,.526,
1891,AA,Standard,Philadelphia Athletics,73,66,,4,.525,
1891,AA,Standard,Columbus Colts,61,76,,1,.445,
1891,AA,Standard,Cincinnati Kelly's Killers,43,57,,2,.430,
1891,AA,Standard,Louisville Colonels,54,83,,2,.396,
1891,AA,Standard,Washington Senators,44,91,,4,.326,
