Year,League,Statistic,Player_Name,Team,Value
1914,FL,Complete Games,Claude Hendrix,Chicago,34
1914,FL,ERA,Claude Hendrix,Chicago,1.69
1914,FL,Games,Cy Falkenberg,Indianapolis,49
1914,FL,Games,Claude Hendrix,Chicago,49
1914,FL,Saves,Russ Ford,Buffalo,6
1914,FL,Shutouts,Cy Falkenberg,Indianapolis,9
1914,FL,Strikeouts,Cy Falkenberg,Indianapolis,236
1914,FL,Winning Percentage,Russ Ford,Buffalo,.778
1914,FL,Wins,Claude Hendrix,Chicago,29
1915,FL,Complete Games,Dave Davenport,St.Louis,30
1915,FL,ERA,Earl Moseley,Newark,1.91
1915,FL,Games,Dave Davenport,St.Louis,55
1915,FL,Saves,Hugh Bedient,Buffalo,10
1915,FL,Shutouts,Dave Davenport,St.Louis,10
1915,FL,Strikeouts,Dave Davenport,St.Louis,229
1915,FL,Winning Percentage,GeorgeMcConnell,Chicago,.714
1915,FL,Wins,GeorgeMcConnell,Chicago,25
