Year,League,Statistic,Player_Name,Team,Value
1914,FL,Base on Balls,Al Wickland,Chicago,81
1914,FL,Batting Average,Benny Kauff,Indianapolis,.370
1914,FL,Doubles,Benny Kauff,Indianapolis,44
1914,FL,Hits,Benny Kauff,Indianapolis,211
1914,FL,Home Runs,Dutch Zwilling,Chicago,16
1914,FL,On Base Percentage,Benny Kauff,Indianapolis,.447
1914,FL,RBI,Frank LaPorte,Indianapolis,107
1914,FL,Runs,Benny Kauff,Indianapolis,120
1914,FL,Slugging Average,Steve Evans,Brooklyn,.556
1914,FL,Stolen Bases,Benny Kauff,Indianapolis,75
1914,FL,Total Bases,Benny Kauff,Indianapolis,305
1914,FL,Triples,Jimmy Esmond,Indianapolis,15
1914,FL,Triples,Steve Evans,Brooklyn,15
1915,FL,Base on Balls,Babe Borton,St. Louis,92
1915,FL,Batting Average,Benny Kauff,Brooklyn,.342
1915,FL,Doubles,Steve Evans,Brooklyn,34
1915,FL,Doubles,Steve Evans,Baltimore,34
1915,FL,Hits,Jack Tobin,St. Louis,184
1915,FL,Home Runs,Hal Chase,Buffalo,17
1915,FL,On Base Percentage,Benny Kauff,Brooklyn,.446
1915,FL,RBI,Dutch Zwilling,Chicago,94
1915,FL,Runs,Babe Borton,St. Louis,97
1915,FL,Slugging Average,Benny Kauff,Brooklyn,.509
1915,FL,Stolen Bases,Benny Kauff,Brooklyn,55
1915,FL,Total Bases,Ed Konetchy,Pittsburgh,278
1915,FL,Triples,Les Mann,Chicago,19
