Year,League,Statistic,Team,Value
1914,FL,Base on Balls,Chicago,520
1914,FL,Batting Average,Indianapolis,.285
1914,FL,Doubles,Indianapolis,230
1914,FL,Hits,Indianapolis,1474
1914,FL,Home Runs,Chicago,52
1914,FL,On Base Percentage,Indianapolis,.349
1914,FL,Runs,Indianapolis,762
1914,FL,Slugging Average,Indianapolis,.383
1914,FL,Stolen Bases,Indianapolis,273
1914,FL,Triples,Indianapolis,90
1915,FL,Base on Balls,St. Louis,576
1915,FL,Batting Average,Brooklyn,.268
1915,FL,Doubles,Newark,210
1915,FL,Hits,Brooklyn,1348
1915,FL,Home Runs,Chicago,50
1915,FL,On Base Percentage,St. Louis,.340
1915,FL,Runs,Brooklyn,647
1915,FL,Slugging Average,Brooklyn,.360
1915,FL,Stolen Bases,Brooklyn,249
1915,FL,Triples,St. Louis,81
