Year,League,Division,Team,Wins,Losses,Ties,WP,GB,Payroll
1914,FL,Standard,Indianapolis Hoosiers,88,65,,.575,0,
1914,FL,Standard,Chicago Whales,87,67,,.565,1½,
1914,FL,Standard,Baltimore Terrapins,84,70,,.545,4½,
1914,FL,Standard,Buffalo Buffeds,80,71,,.530,7,
1914,FL,Standard,Brooklyn Tip-Tops,77,77,,.500,11½,
1914,FL,Standard,Kansas City Packers,67,84,,.444,20,
1914,FL,Standard,Pittsburgh Rebels,64,86,,.427,22½,
1914,FL,Standard,St. Louis Terriers,62,89,,.411,25,
1915,FL,Standard,Chicago Whales,86,66,,.566,0,
1915,FL,Standard,St. Louis Terriers,87,67,,.565,0,
1915,FL,Standard,Pittsburgh Rebels,86,67,,.562,½,
1915,FL,Standard,Kansas City Packers,81,72,,.529,5½,
1915,FL,Standard,Newark Peppers,80,72,,.526,6,
1915,FL,Standard,Buffalo Buffeds,74,78,,.487,12,
1915,FL,Standard,Brooklyn Tip-Tops,70,82,,.461,16,
1915,FL,Standard,Baltimore Terrapins,47,107,,.305,40,
