Year,League,Statistic,Player_Name,Team,Value
1890,PL,Base on Balls,Bill Joyce,Brooklyn,123
1890,PL,Batting Average,Pete Browning,Cleveland,.373
1890,PL,Doubles,Pete Browning,Cleveland,40
1890,PL,Hits,Hugh Duffy,Chicago,191
1890,PL,Home Runs,Roger Connor,New York,14
1890,PL,On Base Percentage,Dan Brouthers,Boston,.466
1890,PL,RBI,Hardy Richardson,Boston,146
1890,PL,Runs,Hugh Duffy,Chicago,161
1890,PL,Slugging Average,Roger Connor,New York,.548
1890,PL,Total Bases,Billy Shindle,Philadelphia,282
1890,PL,Triples,Jake Beckley,Pittsburgh,22
1890,PL,Triples,Joe Visner,Pittsburgh,22
