Year,League,Statistic,Player_Name,Team,Value
1884,UA,Base on Balls,Yank Robinson,Baltimore,37
1884,UA,Batting Average,Fred Dunlap,St. Louis,.412
1884,UA,Doubles,Orator Shaffer,St. Louis,40
1884,UA,Hits,Fred Dunlap,St. Louis,185
1884,UA,Home Runs,Fred Dunlap,St. Louis,13
1884,UA,On Base Percentage,Fred Dunlap,St. Louis,.448
1884,UA,RBI,Data Not Kept,n/a,n/a
1884,UA,Runs,Fred Dunlap,St. Louis,160
1884,UA,Slugging Average,Fred Dunlap,St. Louis,.621
1884,UA,Total Bases,Fred Dunlap,St. Louis,279
1884,UA,Triples,Dick Burns,Cincinnati,12
