Year,League,Statistic,Team,Value
1876,NL,Base on Balls,Chicago,70
1876,NL,Batting Average,Chicago,.337
1876,NL,Doubles,Chicago,131
1876,NL,Hits,Chicago,926
1876,NL,Home Runs,Boston,9
1876,NL,On Base Percentage,Chicago,.353
1876,NL,Runs,Chicago,624
1876,NL,Slugging Average,Chicago,.417
1876,NL,Triples,Philadelphia,35
1877,NL,Base on Balls,Cincinnati,78
1877,NL,Batting Average,Boston,.296
1877,NL,Doubles,Boston,91
1877,NL,Hits,Boston,700
1877,NL,Home Runs,Louisville,9
1877,NL,On Base Percentage,Boston,.314
1877,NL,Runs,Boston,419
1877,NL,Slugging Average,Boston,.370
1877,NL,Triples,Boston,37
1878,NL,Base on Balls,Chicago,88
1878,NL,Batting Average,Chicago,.290
1878,NL,Doubles,Providence,107
1878,NL,Hits,Chicago,677
1878,NL,Home Runs,Providence,8
1878,NL,On Base Percentage,Chicago,.316
1878,NL,Runs,Chicago,371
1878,NL,Slugging Average,Chicago,.350
1878,NL,Triples,Providence,30
1879,NL,Base on Balls,Providence,91
1879,NL,Batting Average,Providence,.296
1879,NL,Doubles,Chicago,167
1879,NL,Hits,Providence,1003
1879,NL,Home Runs,Boston,20
1879,NL,On Base Percentage,Providence,.314
1879,NL,Runs,Providence,612
1879,NL,Slugging Average,Providence,.381
1879,NL,Triples,Providence,55
1880,NL,Base on Balls,Troy,120
1880,NL,Batting Average,Chicago,.279
1880,NL,Doubles,Chicago,164
1880,NL,Hits,Chicago,876
1880,NL,Home Runs,Boston,20
1880,NL,On Base Percentage,Chicago,.303
1880,NL,Runs,Chicago,538
1880,NL,Slugging Average,Chicago,.360
1880,NL,Triples,Cleveland,52
1881,NL,Base on Balls,Providence,146
1881,NL,Batting Average,Chicago,.295
1881,NL,Doubles,Buffalo,157
1881,NL,Hits,Chicago,918
1881,NL,Home Runs,Detroit,17
1881,NL,On Base Percentage,Chicago,.325
1881,NL,Runs,Chicago,550
1881,NL,Slugging Average,Chicago,.380
1881,NL,Triples,Detroit,53
1882,NL,Base on Balls,Chicago,142
1882,NL,Batting Average,Chicago,.277
1882,NL,Doubles,Chicago,209
1882,NL,Hits,Chicago,892
1882,NL,Home Runs,Cleveland,20
1882,NL,On Base Percentage,Chicago,.307
1882,NL,Runs,Chicago,604
1882,NL,Slugging Average,Chicago,.389
1882,NL,Triples,Troy,59
1883,NL,Base on Balls,Detroit,166
1883,NL,Batting Average,Buffalo,.284
1883,NL,Doubles,Chicago,277
1883,NL,Hits,Buffalo,1058
1883,NL,Home Runs,Boston,34
1883,NL,On Base Percentage,Buffalo,.311
1883,NL,Runs,Chicago,679
1883,NL,Slugging Average,Boston,.408
1883,NL,Triples,Boston,86
1884,NL,Base on Balls,Providence,300
1884,NL,Batting Average,Chicago,.281
1884,NL,Doubles,Boston,179
1884,NL,Hits,Chicago,1176
1884,NL,Home Runs,Chicago,142
1884,NL,On Base Percentage,Chicago,.324
1884,NL,Runs,Chicago,834
1884,NL,Slugging Average,Chicago,.446
1884,NL,Triples,Buffalo,69
1885,NL,Base on Balls,Chicago,340
1885,NL,Batting Average,New York,.269
1885,NL,Doubles,Chicago,184
1885,NL,Hits,New York,1085
1885,NL,Home Runs,Chicago,54
1885,NL,On Base Percentage,Chicago,.320
1885,NL,Runs,Chicago,834
1885,NL,Slugging Average,Chicago,.385
1885,NL,Triples,New York,82
1886,NL,Base on Balls,Chicago,460
1886,NL,Batting Average,Detroit,.280
1886,NL,Doubles,Chicago,198
1886,NL,Hits,Detroit,1260
1886,NL,Home Runs,Chicago,53
1886,NL,On Base Percentage,Chicago,.348
1886,NL,Runs,Chicago,900
1886,NL,Slugging Average,Chicago,.401
1886,NL,Triples,Chicago,87
1887,NL,Base on Balls,Chicago,407
1887,NL,Batting Average,Detroit,.299
1887,NL,Doubles,Detroit,213
1887,NL,Hits,Detroit,1404
1887,NL,Home Runs,Chicago,80
1887,NL,On Base Percentage,Detroit,.353
1887,NL,Runs,Detroit,969
1887,NL,Slugging Average,Detroit,.434
1887,NL,Triples,Detroit,126
1888,NL,Base on Balls,Detroit,307
1888,NL,Batting Average,Detroit,.263
1888,NL,Doubles,Indianapolis,180
1888,NL,Hits,Detroit,1275
1888,NL,Home Runs,Chicago,77
1888,NL,On Base Percentage,Detroit,.313
1888,NL,Runs,Chicago,734
1888,NL,Slugging Average,Chicago,.383
1888,NL,Triples,Chicago,95
1889,NL,Base on Balls,New York,538
1889,NL,Batting Average,New York,.282
1889,NL,Doubles,Indianapolis,228
1889,NL,Hits,Indianapolis,1356
1889,NL,Home Runs,Chicago,79
1889,NL,On Base Percentage,New York,.360
1889,NL,Runs,New York,935
1889,NL,Slugging Average,New York,.393
1889,NL,Triples,New York,77
1890,NL,Base on Balls,Boston,530
1890,NL,Batting Average,Philadelphia,.269
1890,NL,Doubles,Philadelphia,220
1890,NL,Hits,Chicago,1271
1890,NL,Home Runs,Chicago,67
1890,NL,On Base Percentage,Philadelphia,.350
1890,NL,Runs,Brooklyn,884
1890,NL,Slugging Average,Brooklyn,.369
1890,NL,Triples,Cincinnati,120
1891,NL,Base on Balls,Boston,533
1891,NL,Batting Average,New York,.263
1891,NL,Doubles,Brooklyn,200
1891,NL,Hits,Cleveland,1295
1891,NL,Home Runs,Chicago,60
1891,NL,On Base Percentage,Boston,.337
1891,NL,Runs,Boston,847
1891,NL,Slugging Average,New York,.360
1891,NL,Stolen Bases,Brooklyn,337
1891,NL,Triples,Cincinnati,90
1892,NL,Base on Balls,Brooklyn,629
1892,NL,Batting Average,Brooklyn,.262
1892,NL,Doubles,Philadelphia,225
1892,NL,Hits,Brooklyn,1439
1892,NL,Home Runs,Philadelphia,50
1892,NL,On Base Percentage,Brooklyn,.344
1892,NL,Runs,Brooklyn,935
1892,NL,Slugging Average,Philadelphia,.367
1892,NL,Stolen Bases,Brooklyn,409
1892,NL,Triples,Baltimore,111
1893,NL,Base on Balls,Boston,561
1893,NL,Batting Average,Philadelphia,.301
1893,NL,Doubles,Philadelphia,246
1893,NL,Hits,Philadelphia,1553
1893,NL,Home Runs,Philadelphia,80
1893,NL,On Base Percentage,Pittsburgh,.377
1893,NL,Runs,Philadelphia,1011
1893,NL,Slugging Average,Philadelphia,.431
1893,NL,Stolen Bases,New York,299
1893,NL,Triples,Pittsburgh,127
1894,NL,Base on Balls,Washington,617
1894,NL,Batting Average,Philadelphia,.349
1894,NL,Doubles,Boston,272
1894,NL,Hits,Philadelphia,1732
1894,NL,Home Runs,Boston,103
1894,NL,On Base Percentage,Baltimore,.418
1894,NL,Runs,Boston,1220
1894,NL,Slugging Average,Boston,.484
1894,NL,Stolen Bases,Chicago,327
1894,NL,Triples,Baltimore,150
1895,NL,Base on Balls,Washington,518
1895,NL,Batting Average,Philadelphia,.330
1895,NL,Doubles,Philadelphia,272
1895,NL,Hits,Philadelphia,1664
1895,NL,Home Runs,Philadelphia,61
1895,NL,On Base Percentage,Philadelphia,.394
1895,NL,Runs,Philadelphia,1068
1895,NL,Slugging Average,Philadelphia,.450
1895,NL,Stolen Bases,Cincinnati,326
1895,NL,Triples,Cincinnati,105
1896,NL,Base on Balls,Washington,516
1896,NL,Batting Average,Baltimore,.328
1896,NL,Doubles,Philadelphia,234
1896,NL,Hits,Baltimore,1548
1896,NL,Home Runs,Philadelphia,49
1896,NL,On Base Percentage,Baltimore,.393
1896,NL,Runs,Baltimore,995
1896,NL,Slugging Average,Baltimore,.429
1896,NL,Stolen Bases,Baltimore,441
1896,NL,Triples,Baltimore,100
1897,NL,Base on Balls,Baltimore,437
1897,NL,Batting Average,Baltimore,.325
1897,NL,Doubles,Baltimore,243
1897,NL,Hits,Baltimore,1584
1897,NL,Home Runs,Boston,45
1897,NL,On Base Percentage,Baltimore,.394
1897,NL,Runs,Boston,1025
1897,NL,Slugging Average,Boston,.426
1897,NL,Stolen Bases,Baltimore,401
1897,NL,Triples,Pittsburgh,108
1898,NL,Base on Balls,Cleveland,545
1898,NL,Batting Average,Baltimore,.302
1898,NL,Doubles,Philadelphia,238
1898,NL,Hits,Baltimore,1584
1898,NL,Home Runs,Boston,53
1898,NL,On Base Percentage,Baltimore,.382
1898,NL,Runs,Baltimore,933
1898,NL,Slugging Average,Boston,.377
1898,NL,Stolen Bases,Baltimore,250
1898,NL,Triples,Cincinnati,101
1899,NL,Base on Balls,Cincinnati,485
1899,NL,Batting Average,Philadelphia,.301
1899,NL,Doubles,Philadelphia,241
1899,NL,Hits,Philadelphia,1613
1899,NL,Home Runs,St. Louis,47
1899,NL,On Base Percentage,Brooklyn,.368
1899,NL,Runs,Philadelphia,916
1899,NL,Slugging Average,Philadelphia,.395
1899,NL,Stolen Bases,Baltimore,364
1899,NL,Triples,Pittsburgh,121
1900,NL,Base on Balls,Philadelphia,440
1900,NL,Batting Average,Brooklyn,.293
1900,NL,Doubles,Chicago,202
1900,NL,Hits,Philadelphia,1439
1900,NL,Home Runs,Boston,48
1900,NL,On Base Percentage,Brooklyn,.359
1900,NL,Runs,Brooklyn,816
1900,NL,Slugging Average,Brooklyn,.383
1900,NL,Stolen Bases,Brooklyn,274
1900,NL,Triples,Pittsburgh,100
1901,NL,Base on Balls,Philadelphia,430
1901,NL,Batting Average,Brooklyn,.287
1901,NL,Doubles,Brooklyn,206
1901,NL,Hits,St. Louis,1430
1901,NL,Home Runs,St. Louis,39
1901,NL,On Base Percentage,Pittsburgh,.345
1901,NL,Runs,St. Louis,792
1901,NL,Slugging Average,Brooklyn,.387
1901,NL,Stolen Bases,Chicago,204
1901,NL,Triples,St. Louis,94
1902,NL,Base on Balls,Boston,398
1902,NL,Batting Average,Pittsburgh,.286
1902,NL,Doubles,Pittsburgh,189
1902,NL,Hits,Pittsburgh,1410
1902,NL,Home Runs,Brooklyn,19
