Year,League,Statistic,Team,Value
1876,NL,Complete Games,Hartford,69
1876,NL,ERA,St. Louis,1.22
1876,NL,Fewest Hits Allowed,St. Louis,472
1876,NL,Fewest Home Runs Allowed,Hartford,2
1876,NL,Fewest Walks Allowed,New York,24
1876,NL,Saves,Boston,7
1876,NL,Shutouts,St. Louis,16
1876,NL,Strikeouts,Louisville,125
1877,NL,Complete Games,Boston,61
1877,NL,ERA,Boston,2.15
1877,NL,Fewest Hits Allowed,Boston,557
1877,NL,Fewest Home Runs Allowed,Hartford,2
1877,NL,Fewest Walks Allowed,Boston,38
1877,NL,Saves,Chicago,3
1877,NL,Shutouts,Boston,7
1877,NL,Strikeouts,Boston,177
1878,NL,Complete Games,Cincinnati,61
1878,NL,ERA,Cincinnati,1.84
1878,NL,Fewest Hits Allowed,Cincinnati,546
1878,NL,Fewest Home Runs Allowed,Cincinnati,2
1878,NL,Fewest Walks Allowed,Chicago,35
1878,NL,Saves,Indianapolis,1
1878,NL,Shutouts,Boston,9
1878,NL,Strikeouts,Cincinnati,220
1879,NL,Complete Games,Chicago,82
1879,NL,ERA,Providence,2.18
1879,NL,Fewest Hits Allowed,Buffalo,698
1879,NL,Fewest Home Runs Allowed,Buffalo,3
1879,NL,Fewest Walks Allowed,Boston,46
1879,NL,Saves,Providence,2
1879,NL,Shutouts,Boston,13
1879,NL,Strikeouts,Providence,329
1880,NL,Complete Games,Cleveland,83
1880,NL,ERA,Providence,1.64
1880,NL,Fewest Hits Allowed,Chicago,622
1880,NL,Fewest Home Runs Allowed,Boston,2
1880,NL,Fewest Walks Allowed,Providence,51
1880,NL,Saves,Worcester,5
1880,NL,Shutouts,Providence,13
1880,NL,Strikeouts,Chicago,367
1881,NL,Complete Games,Troy,85
1881,NL,ERA,Providence,2.40
1881,NL,Fewest Hits Allowed,Chicago,722
1881,NL,Fewest Home Runs Allowed,Providence,5
1881,NL,Fewest Walks Allowed,Buffalo,89
1881,NL,Saves,Boston,3
1881,NL,Shutouts,Detroit,10
1881,NL,Strikeouts,Detroit,265
1882,NL,Complete Games,Chicago,83
1882,NL,ERA,Chicago,2.22
1882,NL,Fewest Hits Allowed,Chicago,667
1882,NL,Fewest Home Runs Allowed,Boston,10
1882,NL,Fewest Walks Allowed,Boston,77
1882,NL,Saves,Providence,1
1882,NL,Shutouts,Providence,10
1882,NL,Strikeouts,Detroit,354
1883,NL,Complete Games,Cleveland,92
1883,NL,ERA,Cleveland,2.22
1883,NL,Fewest Hits Allowed,Cleveland,818
1883,NL,Fewest Home Runs Allowed,Cleveland,7
1883,NL,Fewest Walks Allowed,Boston,90
1883,NL,Saves,Boston,3
1883,NL,Shutouts,Boston,6
1883,NL,Strikeouts,Boston,538
1884,NL,Complete Games,New York,111
1884,NL,ERA,Providence,1.61
1884,NL,Fewest Hits Allowed,Providence,825
1884,NL,Fewest Home Runs Allowed,Providence,26
1884,NL,Fewest Walks Allowed,Boston,135
1884,NL,Saves,Boston,2
1884,NL,Shutouts,Providence,16
1884,NL,Strikeouts,Boston,742
1885,NL,Complete Games,Boston,111
1885,NL,ERA,New York,1.72
1885,NL,Fewest Hits Allowed,New York,758
1885,NL,Fewest Home Runs Allowed,New York,11
1885,NL,Fewest Walks Allowed,Boston,188
1885,NL,Saves,Chicago,4
1885,NL,Shutouts,New York,16
1885,NL,Strikeouts,New York,516
1886,NL,Complete Games,Detroit,122
1886,NL,ERA,Philadelphia,2.45
1886,NL,Fewest Hits Allowed,Philadelphia,923
1886,NL,Fewest Home Runs Allowed,Detroit,20
